"question_id";"question";"answer"
"1862";"Give me system that follows Ediacaran and which contains the word cambrian in their name";"Cambrian"
"1863";"What is notable work of Bernhard Schlink that is point in time is 2000-0-0 ?";"Flights of love"
"1864";"What is place of birth of Ryan Gosling that is country is Ontario ?";"London"
"1865";"What is twinned administrative body of Berlin that is start time is 1992-8-28 ?";"City of Brussels, Budapest"
"1866";"What is encoded by of L-Tyrosine ?";"UAC, UAU"
"1867";"Does the ballots cast of the Catalan regional election 2015 in Rajadell equals 368";"True"
"1868";"What is student of and academic degree of Vladimir Putin has educated at as Saint Petersburg State University";""
"1869";"What is diplomatic relation of citizenship of Mike Tyson ?";"Canada, Japan, Norway, Ireland, Hungary, Belgium, Luxembourg, Finland, Sweden, Denmark, Poland, Lithuania, Italy, Switzerland, Greece, Turkey, Portugal, Netherlands, Uruguay, Mexico, Ethiopia, Ghana, France, United Kingdom, ""Peoples Republic of China"", Brazil, Russia, Germany, Belarus, Iceland, Estonia, Latvia, Ukraine, Czech Republic, Slovakia, Slovenia, Moldova, Romania, North Macedonia, Albania, Croatia, Bosnia and Herzegovina, Azerbaijan, Andorra, Cyprus, Georgia, Kazakhstan, Malta, Monaco, Montenegro, Belize, Barbados, Indonesia, Algeria, Uzbekistan, Chile, Singapore, Liechtenstein, Bahrain, Armenia, Serbia, Australia, Argentina, Peru, Cambodia, European Union, Timor-Leste, Chad, New Zealand, India, Tuvalu, Samoa, Vanuatu, Papua New Guinea, Palau, Federated States of Micronesia, Marshall Islands, Kiribati, Mongolia, Fiji, Venezuela, Suriname, Paraguay, Guyana, Ecuador, Bolivia, Trinidad and Tobago, Saint Vincent and the Grenadines, Saint Lucia, Jamaica, Grenada, Guatemala, Honduras, Dominica, Dominican Republic, Haiti, El Salvador, Iraq, Costa Rica, Israel, Panama, Yemen, Nicaragua, Kyrgyzstan, Kuwait, Laos, Lebanon, Maldives, Malaysia, Myanmar, Nepal, Pakistan, Saudi Arabia, Sri Lanka, Syria, Tajikistan, Taiwan, Turkmenistan, Vietnam, South Korea, Afghanistan, Bangladesh, Mali, Angola, Brunei, Tanzania, Philippines, Togo, Tunisia, Zambia, South Sudan, Benin, Botswana, Burkina Faso, Burundi, Comoros, Republic of the Congo, Democratic Republic of the Congo, Djibouti, Equatorial Guinea, Eritrea, Gabon, The Gambia, Guinea, Guinea-Bissau, ""Côte dIvoire"", Cape Verde, Lesotho, Liberia, Libya, Madagascar, Malawi, Mauritania, Mauritius, Morocco, Mozambique, Namibia, Niger, Nigeria, Uganda, Rwanda, São Tomé and Príncipe, Senegal, Seychelles, Sierra Leone, Somalia, Sudan, Eswatini, Kosovo, Cayman Islands, Hong Kong, Macau, Soviet Union, Aruba, Bermuda, Netherlands Antilles, Russian Empire, Kingdom of Hawaiʻi, Holy See, Republic of Texas, State of Palestine"
"1870";"How many means of locomotion are to/by bipedalism ?";"29"
"1871";"what is the point in time for Henri Becquerel has nominated for as Nobel Prize in Physics ?";"1903-01-01T00:00:00Z, 1902-01-01T00:00:00Z, 1901-01-01T00:00:00Z"
"1872";"Give me condition that facet of meteorology and which that starts with 'd'";"drought"
"1873";"what is the start time for Jules Verne has educated at as lycée Georges-Clemenceau ?";"1844-01-01T00:00:00Z"
"1874";"What is position held of George III of Great Britain that is replaces is George II of Great Britain ?";"monarch, king, Prince-Elector, duke"
"1875";"What is child of Pedro I and mother";""
"1876";"what is the end time for Margaret Court has member of sports team as Australia Fed Cup team ?";"1970-01-01T00:00:00Z"
"1877";"What is Bloomberg person ID of Gwyneth Paltrow ?";"256106216"
"1878";"What is OKATO ID of Kaliningrad ?";"27401000000"
"1879";"What is the ancient civilization for narrative location of Exodus";"Ancient Egypt"
"1880";"What is diplomatic relation of nationality of Buck O'Neil ?";"Canada, Japan, Norway, Ireland, Hungary, Belgium, Luxembourg, Finland, Sweden, Denmark, Poland, Lithuania, Italy, Switzerland, Greece, Turkey, Portugal, Netherlands, Uruguay, Mexico, Ethiopia, Ghana, France, United Kingdom, ""Peoples Republic of China"", Brazil, Russia, Germany, Belarus, Iceland, Estonia, Latvia, Ukraine, Czech Republic, Slovakia, Slovenia, Moldova, Romania, North Macedonia, Albania, Croatia, Bosnia and Herzegovina, Azerbaijan, Andorra, Cyprus, Georgia, Kazakhstan, Malta, Monaco, Montenegro, Belize, Barbados, Indonesia, Algeria, Uzbekistan, Chile, Singapore, Liechtenstein, Bahrain, Armenia, Serbia, Australia, Argentina, Peru, Cambodia, European Union, Timor-Leste, Chad, New Zealand, India, Tuvalu, Samoa, Vanuatu, Papua New Guinea, Palau, Federated States of Micronesia, Marshall Islands, Kiribati, Mongolia, Fiji, Venezuela, Suriname, Paraguay, Guyana, Ecuador, Bolivia, Trinidad and Tobago, Saint Vincent and the Grenadines, Saint Lucia, Jamaica, Grenada, Guatemala, Honduras, Dominica, Dominican Republic, Haiti, El Salvador, Iraq, Costa Rica, Israel, Panama, Yemen, Nicaragua, Kyrgyzstan, Kuwait, Laos, Lebanon, Maldives, Malaysia, Myanmar, Nepal, Pakistan, Saudi Arabia, Sri Lanka, Syria, Tajikistan, Taiwan, Turkmenistan, Vietnam, South Korea, Afghanistan, Bangladesh, Mali, Angola, Brunei, Tanzania, Philippines, Togo, Tunisia, Zambia, South Sudan, Benin, Botswana, Burkina Faso, Burundi, Comoros, Republic of the Congo, Democratic Republic of the Congo, Djibouti, Equatorial Guinea, Eritrea, Gabon, The Gambia, Guinea, Guinea-Bissau, ""Côte dIvoire"", Cape Verde, Lesotho, Liberia, Libya, Madagascar, Malawi, Mauritania, Mauritius, Morocco, Mozambique, Namibia, Niger, Nigeria, Uganda, Rwanda, São Tomé and Príncipe, Senegal, Seychelles, Sierra Leone, Somalia, Sudan, Eswatini, Kosovo, Cayman Islands, Hong Kong, Macau, Soviet Union, Aruba, Bermuda, Netherlands Antilles, Russian Empire, Kingdom of Hawaiʻi, Holy See, Republic of Texas, State of Palestine"
"1881";"Does the number of matches played/races/starts of the Jesse Schultz equals 2";"True"
"1882";"What is doctoral advisor and doctoral thesis of Carl Sagan has educated at as University of Chicago";"Gerard Kuiper"
"1883";"Does the duration of the 666 less than 0.8";"False"
"1884";"what is the end time for Ossie Davis has educated at as Howard University ?";"1939-01-01T00:00:00Z"
"1885";"Give me state or insular area capital in the United States that highest point Crown Hill Cemetery and which that starts with 'i'";"Indianapolis"
"1886";"Did Bitcoin language of work or name Sardinian?";"False"
"1887";"What is population of Nukus that is point in time is 1979-0-0 ?";"108978"
"1888";"What is the location of formation and the present in work of New_York_Stock_Exchange ?";"New York City, New York City"
"1889";"What is the human for family of Maurya Empire";"Susima"
"1890";"What is award received of Theodor Mommsen and prize money";"141847"
"1891";"What is nominee for of Urho Kekkonen, that has top dog is Juan Manuel Santos ?";"Nobel Peace Prize"
"1892";"What is career of Douglas Nicholls, that has field of this career is boxing ?";"boxer"
"1893";"Does the lower limit of the set of non-negative integers equals 0";"False"
"1894";"How many number of cases are for malaria ?";"12"
"1895";"What is the city of the United States for twinned administrative body of Thessaloniki";"San Francisco, Hartford"
"1896";"How many academic degree are to/by bachelor's degree ?";"641"
"1897";"what is the replaces for Vitoria-Gasteiz has head of government as Javier Maroto ?";""
"1898";"what is the end cause for Tomás de Torquemada has position held as Inquisitor General of Spain ?";""
"1899";"What is member of sports team of Wasim Akram that is start time is 2003-0-0 ?";"Hampshire County Cricket Club"
"1900";"What is present at of Gerhard Schröder, that has attendee is Horst Seehofer ?";"2004 German presidential election, 1999 German presidential election"
"1901";"What is telephone code of garrison of Major League Baseball ?";"917, 212, 347, 929, 646, 718"
"1902";"what is the character role for Dragon Ball Z has voice actor as Masako Nozawa ?";"Son Gokū, Gohan"
"1903";"What is this taxon is source of of Carthamus tinctorius ?";"safflower oil, Carthami Flos, safflower seed"
"1904";"What is followed by and follows of Guy of Lusignan has noble title as count of Jaffa and Ascalon";"Geoffrey I of Lusignan (Lord of Vouvant)"
"1905";"Does the ultimate tensile strength of the AKROLOY PARA ICF 40 equals 255";"True"
"1906";"What is Microsoft Store artist ID of Madonna ?";""
"1907";"What is found guilty of of renter of Carrie Nation House ?";"trespass, property damage"
"1908";"what is the replaced by for William Pitt, 1st Earl of Chatham has position held as Prime Minister of the United Kingdom ?";"Augustus FitzRoy, 3rd Duke of Grafton"
"1909";"Did Christopher_Plummer given name Christopher and Robert ?";"False"
"1910";"what is the point in time for Guiding Light has award received as Daytime Emmy Award for Outstanding Drama Series Writing Team ?";"2007-01-01T00:00:00Z, 1986-01-01T00:00:00Z, 1990-01-01T00:00:00Z, 1993-01-01T00:00:00Z, 1982-01-01T00:00:00Z, 1981-01-01T00:00:00Z"
"1911";"What is numeric value of 0 ?";"0"
"1912";"What is the earthquake with the MIN(aftershocks) whose country is Bangladesh  ?";"April 2015 Nepal earthquake"
"1913";"what is the point in time for Monica Seles has award received as International Tennis Hall of Fame ?";"2009-01-01T00:00:00Z"
"1914";"What is tributary of located on body of water of Nagoya ?";"Kiso River, Hori River, Nagara River, Ibi River, Nikkō River, Isuzu River, Kushida River, Miya River, Seta River, Shin River, Shōnai River, Suzuka River, Mitaki river, 信濃川 (愛知県), 員弁川, Anō River, 岩田川, 志登茂川, 朝明川, 海蔵川, 相川 (三重県), 祓川 (三重県), Sakanai River, Kumozu River, 天白川, Toda river, 八田川 (愛知県), 内津川, 白沢川 (名古屋市), Yada River, 小里川, Ōgi River, Tegoshi River, Ueda River"
"1915";"What is spouse of Frida Kahlo that is end time is 1939-11-6 ?";"Diego Rivera"
"1916";"Did Frederick_Douglass child Charles Remond Douglass?";"True"
"1917";"What is film genre of songwriter of Tu Vuò Fà L'Americano ?";"rock and roll, blues, swing music, Cha-cha-cha, boogie-woogie, canzone napoletana"
"1918";"What is French diocesan architects ID of Eugène Viollet-le-Duc ?";"504"
"1919";"What is the fictional universe for fictional universe described in of Grand Theft Auto";""
"1920";"what is the award received for Johnny Weissmuller has participant of as 1928 Summer Olympics ?";"Olympic gold medal"
"1921";"What is antonym of of due to of anti-austerity movement in Greece ?";"Anti-corruption, deflation, employment opportunities"
"1922";"Does the frequency of event of the NIFL Premiership equals 0.8";"False"
"1923";"What is diplomatic relation of Lebanon, that has rule of the road is right ?";"Canada, United States of America, Italy, Greece, Uruguay, Mexico, France, Brazil, Russia, Germany, Georgia, Armenia, Serbia, North Korea, European Union, Iran, Iraq, Saudi Arabia, Syria, Taiwan, United Arab Emirates"
"1924";"Give me biomedical measurand that starts with 'w'";"""Winters formula"", white blood cell count, waist-hip ratio, waist circumference, waist-to-height ratio"
"1925";"What is scanned file on Wikimedia Commons of The Jungle Book ?";"http://commons.wikimedia.org/wiki/Special:FilePath/The%20Jungle%20Book.djvu"
"1926";"What is birthplace of Lucia Moholy, that has chancellor is Vladimír Srb ?";""
"1927";"What is award received of Vesto Slipher that is point in time is 1932-1-1 ?";"Henry Draper Medal"
"1928";"What is Yle Areena ID of Doctor Who ?";"1-2223353"
"1929";"What is start time of beer that is statement is subject of is beer in Egypt ?";"-3500-01-01T00:00:00Z"
"1930";"What is birth location of Steph Davis, that has has regions is Boone County ?";"Illinois"
"1931";"What is the American football stadium for home venue of Dallas Cowboys";"AT&T Stadium"
"1932";"Does the shelf life of the July Red less than 24.0";"False"
"1933";"Give me former building or structure that culture Ancient Greece and which contains the word alexandria in their name";"Lighthouse of Alexandria"
"1934";"What is the Wikimedia list article for record or record progression of long jump";"Long jump world record progression"
"1935";"What is apparent magnitude of Antares ?";"0.91"
"1936";"What is location born of Moria Casán, that has subdivided into is Puerto Madero ?";""
"1937";"what is the applies to part for Volta River has coordinate location as 0.673056 ?";""
"1938";"Give me occupational carcinogen that contains the word trichloropropane in their name";"1,2,3-trichloropropane"
"1939";"what is the end time for Gioachino Rossini has spouse as Olympe Pélissier ?";"1868-11-13T00:00:00Z"
"1940";"What is country of Trieste that is start time is 1975-0-0 ?";"Italy"
"1941";"What is child body of companion of of Alpha Centauri A ?";"Proxima Centauri b, Proxima Centauri c, Proxima Centauri d, Alpha Centauri Bb, Alpha Centauri Bc"
"1942";"What is the bridge for architect of Isambard Kingdom Brunel";""
"1943";"What is coordinate location of Kasai River that is applies to part is river source ?";"Point(19.3156 -10.9603)"
"1944";"How many occupant are for Windsor Castle ?";"18"
"1945";"Does the number of graves of the North Africa American Cemetery and Memorial equals 2841";"True"
"1946";"What is the religious text for has edition of Septuagint";"Tanakh, Old Testament"
"1947";"What is time of Haidian District, that has same as is Macau Standard Time ?";"UTC+08:00"
"1948";"What is endtime of trend of Miserere ?";"1750-01-01T00:00:00Z"
"1949";"What is Flora of Australia ID of Banksia ?";"46089"
"1950";"What is religious affiliation of Travancore, that has Universal Decimal Classification is 233 ?";"Hinduism"
"1951";"What is SRCBB coach ID of Mike Krzyzewski ?";"mike-krzyzewski-1"
"1952";"What is award received of Roman Polanski that is follows is Michael Haneke ?";"César Award for Best Director"
"1953";"What is tagline of alma mater of Uwe Johnson ?";"Aus Tradition Grenzen überschreiten"
"1954";"What is the sovereign state for country of citizenship of Josip Broz Tito";""
"1955";"What is creators of Prince Hamlet, that has language is English ?";"William Shakespeare"
"1956";"What is the public educational institution of the United States for educated at of Phil Hartman";"California State University, Northridge, Santa Monica College"
"1957";"What is member of sports team of Steve Nash that is end time is 2012-0-0 ?";"Phoenix Suns"
"1958";"What is InPhO ID of Giambattista Vico ?";"thinker/4070"
"1959";"What is educated at of Julianne Moore that is academic degree is Bachelor of Fine Arts ?";"Boston University"
"1960";"How many fastest lap are to/by Lewis Hamilton ?";"57"
"1961";"What is ISO 15924 numeric code of kanji ?";""
"1962";"what is the point in time for Elche has population as 215137.0 ?";""
"1963";"What is number of participants of UEFA European Football Championship ?";"24"
"1964";"Give me group of Greek mythical characters that contains the word thespiades in their name";"Thespiades"
"1965";"what is the located in the administrative territorial entity for Plutarch has place of birth as Chaeronea ?";"Achaea"
"1966";"What is introduction of historical period of Siege of Leningrad ?";"1939-09-01T00:00:00Z"
"1967";"What is the natural satellite with the MAX(semi-major axis) whose discoverer or inventor is Scott S. Sheppard  ?";"Ferdinand, Margaret"
"1968";"What is active in of Stella Adler, that has executive power headed by is Ardolph L. Kline ?";""
"1969";"What is partition coefficient water/octanol of carbon tetrachloride ?";"2.64"
"1970";"what is the start time for Georg Simon Ohm has member of as Royal Society ?";"1842-01-01T00:00:00Z"
"1971";"What is continent of Pinatubo, that has pronunciation audio is La-cls-Asia.ogg ?";""
"1972";"What is the literary character for characters of Nineteen Eighty-Four";"Emmanuel Goldstein, Julia, Big Brother, ""OBrien"", Winston Smith"
"1973";"Give me first-class city that coat of arms Seal of Milwaukee and which that starts with 'm'";"Milwaukee"
"1974";"What is the museum for commemorates of Sun Yat-sen";""
"1975";"What is time of discovery or invention of Sierpinski triangle ?";"1915-01-01T00:00:00Z"
"1976";"What is the unit of frequency for measured physical quantity of frequency";"megahertz, beats per minute, actions per minute, kilohertz, gigahertz, cycle per second, terahertz, exahertz, petahertz, femtohertz, picohertz, nanohertz, microhertz, millihertz, centihertz, decihertz, decahertz, hectohertz, beats per minute"
"1977";"What is is in the district of of Rugby League International Federation, that has has wards is Armidale Dumaresq Shire ?";""
"1978";"What is spouse of Katy Perry that is start time is 2010-10-23 ?";"Russell Brand"
"1979";"What is the rock band for genre of hard rock";"Steppenwolf, F.T. Island, Foo Fighters, Jefferson Airplane, Winger, Styx, April Wine, The Angels, Gotthard, Humble Pie, Make-Up, Nazareth, Ten, Theory of a Deadman, Rascal Flatts, Vanilla Fudge, Cactus, Cuca, Aria, The Who, Deep Purple, Fleetwood Mac, Uriah Heep, Scorpions, KISS, Aerosmith, Nautilus Pompilius, The Animals, Wishbone Ash, ""Bz"", Rival Sons, Soundgarden, Def Leppard, Whitesnake, Jethro Tull, The Beatles, Led Zeppelin, Red Hot Chili Peppers, The Rolling Stones, Guns N’ Roses, Queen, Muse, AC/DC, Free, Beyond, Hinder, The Gone Jackals, DDT, Rev Theory, The Damned Things, Hollywood Rose, Mucc, The Alfee, Cheap Trick, Petra, Survivor, Cream, Rush, Toto, DragonForce, 3 Colours Red, UFO, Staind, Foreigner, Shturtzite, Creed, House of Lords, Skillet, Agatha Christie, Airbag, Road, Roquefire, Third Brigade, ""Wild Willys Gang"", Taaq, Vatreni poljubac, Bombus, Alice Cooper, We Are Harlot, Band-Maid, S.U.N., Sweeney Todd, The New Order, The Snakes, Vaughn, Wizard, ZooL, Samson, Danger Danger, Unwritten Law, White Lion, Hardline, Riot V, Soil, Freak Kitchen, Spooky Tooth, T-Slam, Taproot, Royal Republic, Warrant, Trust, Spiritual Beggars, Vixen, Night Ranger, Montrose, Show-Ya, Bang Tango, Harem Scarem, Extremoduro, TNT, Gillan, Loaded, Autograph, Logan, ""Enuff Znuff"", Ruble, Faithfull, Patricio Rey y sus Redonditos de Ricota, Los Suaves, Ningen Isu, Obús, Living Loud, Hard Stuff, The Elderberries, Agnes Strange, Edge of Forever, Gamma, Louna, Trek, Orgia Pravednikov, The Wildhearts, Against the Season, Burn, Burn Season, Slank, Cinder Road, Eldorado, Engine, HaYehudim, La Beriso espinosa, Objektif, Malt, Karavan, King Lizard, Magdallan, Night Horse, Riff (band), Патриархальная Выставка, RavenEye, Motor Sister, Denigh, Inglorious, Mental Hippie Blood, Giraffe Tongue Orchestra, Rival Waves, Wild Fire, Zen From Mars, Massive Wagons, DeafBrood, The Hu, Koch Marshall Trio, Supersism, Отражение, Prospect Hill, The Phone Call Damage, Stingray, Vended, Vuelta Atrás, Classless Act, The Dives, Bad Touch, Bad Mother Seed, The Lucid"
"1980";"How many appointed by are to/by pope ?";"28"
"1981";"what is the type of kinship for Magneto has relative as Joseph ?";""
"1982";"What is population of Kentucky that is determination method is census ?";"3038156, 2289905, 4041769, 3218706, 2944806, 3660777, 3685296, 2416630, 2614589, 2845627"
"1983";"What is tributary of body of water of Albany ?";"Hoosic River, Mohawk River, Rondout Creek, Esopus Creek, Fishkill Creek, Batten Kill, Casperkill, Cedar River, Coeymans Creek, Coxsackie Creek, Fall Kill, Hannacrois Creek, Mill Creek, Moodna Creek, Moordener Kill, Normans Kill, Patroon Creek, Poesten Kill, Quassaick Creek, Roeliff Jansen Kill, Sacandaga River, Saw Mill River, Schroon River, Sparkill Creek, Vloman Kill, Wappinger Creek, Maritje Kill, Thirteenth Brook"
"1984";"What is flower color of Arabidopsis thaliana ?";"white"
"1985";"What is the geography of geographic location for geography of topic of Korea";"geography of Korea"
"1986";"Give me town in Croatia that starts with 'š'";"Šibenik"
"1987";"What is starring of prequel is of X-Men: The Last Stand ?";""
"1988";"What is country of Provence that is end time is 1790-0-0 ?";"County of Provence"
"1989";"What is award received of The Sopranos that is winner is Martin Bruestle ?";"Primetime Emmy Award for Outstanding Drama Series, Primetime Emmy Award for Outstanding Drama Series"
"1990";"What is the country within the United Kingdom for indigenous to of English";"Scotland, England, Wales"
"1991";"What is participated in conflict of user of Sverdlov-class cruiser ?";"World War II, Korean War, Vietnam War, Russian Civil War, Winter War, Polish–Soviet War, Eastern Front, Soviet–Japanese War, Ogaden War, Soviet–Japanese border conflicts, Soviet invasion of Poland, Angolan Civil War"
"1992";"What is academic major and academic degree of Gloria Estefan has educated at as University of Miami";"psychology"
"1993";"Did Robert_De_Niro place of birth Greenwich Village?";"False"
"1994";"How many composer are to/by Paco de Lucía ?";"8"
"1995";"What is manufacturer of of field of action of Ekstra M ?";"pasta, couscous"
"1996";"What is works at of author of No Creo ?";"Universal Music Group, Epic Records, PepsiCo, Roc Nation, Freixenet, Live Nation, Sony Music"
"1997";"Give me sport discipline that starts with 'u'";"ultra-trail, ultramarathon, ultralong distance (orienteering), U20 race, underwater swimming"
"1998";"What is located in the administrative territorial entity of Saratov that is end time is 1936-12-4 ?";"Saratov Krai"
"1999";"Does the argument of periapsis of the 6626 Mattgenge equals 2.12179";"True"
"2000";"What is child of Louis IX of France and date of death";"1271-01-01T00:00:00Z, 1243-01-01T00:00:00Z, 1284-04-13T00:00:00Z, 1270-08-17T00:00:00Z, 1317-02-23T00:00:00Z, 1271-01-01T00:00:00Z, 1248-01-01T00:00:00Z, 1285-10-19T00:00:00Z, 1320-01-01T00:00:00Z, 1260-01-01T00:00:00Z"
"2001";"Give me ice hockey tournament that starts with 't'";"TV-pucken"
"2002";"Does the volume as quantity of the femtoliter equals 0.000000001";"False"
"2003";"What is the business for developer of Skype";"Skype Technologies"
"2004";"What is the international association for language regulatory body of Latin";""
"2005";"Does the shear modulus of the titanium greater than 49.68";"False"
"2006";"What is people of written by of Piano Concerto No. 1 ?";"Russians"
"2007";"What is the intergovernmental organization for language regulatory body of Dutch";"Dutch Language Union"
"2008";"What is head office location of Dutch East India Company, that has list of monuments is List of municipal monuments in Amsterdam ?";""
"2009";"Give me legal order that starts with 's'";"sharia"
"2010";"How many mount are for Lester Piggott ?";"5"
"2011";"What is marriage partner of starring of The Girl Can't Help It ?";"Nancy Kelly, Olga San Juan, Mickey Hargitay, Matt Cimber, Max Roach, Bobby Troup, Jack Webb, Mamie Van Doren, Tallulah Bankhead, Tamara Geva"
"2012";"What is place of residence of developer of of NGC 4151 ?";"England, Bath, Datchet, Old Windsor, Observatory House"
"2013";"Give me uninformed search that uses graph and which contains the word first in their name";"depth-first search, breadth-first search"
"2014";"How many cover artist are to/by Carl Barks ?";"10"
"2015";"What is is pollinated by of Abelmoschus esculentus ?";"Anthophila"
"2016";"What is diplomatic relation of service operator of Il-76 ?";"Ireland, Hungary, United States of America, Finland, Sweden, Denmark, Poland, Lithuania, Italy, Switzerland, Greece, Netherlands, France, ""Peoples Republic of China"", Brazil, Russia, Germany, Latvia, Ukraine, Czech Republic, Slovakia, Slovenia, Moldova, Croatia, Azerbaijan, Georgia, Kazakhstan, Malta, Cuba, Algeria, Chile, Serbia, Argentina, North Korea, European Union, India, Iran, Israel, Malaysia, Pakistan, Taiwan, Turkmenistan, Bangladesh, Libya, Canada, Japan, Hungary, United States of America, Denmark, Italy, Switzerland, Greece, Turkey, Portugal, Uruguay, Egypt, Mexico, France, United Kingdom, ""Peoples Republic of China"", Brazil, Russia, Germany, Ukraine, Romania, Bulgaria, Azerbaijan, Cyprus, Georgia, Kazakhstan, Singapore, North Korea, European Union, Iran, Israel, Lebanon, Pakistan, Syria, Tajikistan, Taiwan, Kosovo, Hungary, United States of America, Portugal, Mexico, Kenya, France, ""Peoples Republic of China"", Brazil, Russia, Germany, Ukraine, Georgia, Cuba, South Africa, Serbia, Australia, Argentina, North Korea, India, Israel, Taiwan, Vietnam, Zambia, Zimbabwe, Cape Verde, Namibia, Nigeria, Soviet Union"
"2017";"What is position held of Sitiveni Rabuka that is end time is 2001-1-1 ?";"Chairman of the Great Council of Chiefs"
"2018";"What is date of death and mother of Pedro I has child as Princess Januária of Brazil";""
"2019";"what is the country for Johan Cruyff has place of death as Barcelona ?";"Spain"
"2020";"What is the concept for opposite of of sales";"purchasing"
"2021";"What is nominated for of Edith Evans that is for work is The Chalk Garden ?";"Academy Award for Best Supporting Actress"
"2022";"What is Last.fm music ID of Otis Redding ?";"Otis+Redding"
"2023";"what is the end time for Susan Hayward has spouse as Jess Barker ?";"1954-01-01T00:00:00Z"
"2024";"what is the point in time for Walter Matthau has award received as Academy Award for Best Supporting Actor ?";"1966-01-01T00:00:00Z"
"2025";"What is spouse of Glenn McGrath and start time";"1999-01-01T00:00:00Z"
"2026";"What is type of film of preceeds of Zork II ?";"interactive fiction"
"2027";"What is the fictional humanoid for mascot of Iron Maiden";"Eddie the Head"
"2028";"What is payment types accepted of PayPal ?";"Just Eat Takeaway, Globcal International, Museum of Tomorrow, Wikipedia Store, Conrad Maldives Rangali Island, the niu Ridge"
"2029";"What is sports of teams played for of Süreyya Özkefe ?";"volleyball, association football, basketball, handball, volleyball, association football, basketball, wrestling, association football, association football, association football, association football"
"2030";"Does the hardness of the callitris glaucophylla equals 7.8";"False"
"2031";"What is child of Charlemagne and date of birth";""
"2032";"What is the translation for has edition of Hamlet";"The tragedy of Hamlet, Prince of Denmark, Hamlet, Hamlet, Hamlet, Hamlet, Hamlet, Hamlet, Hamlet, Hamlet, Hamlet, Hamlet, Hamlet, Hamlet, Hamlet, Hamlet, królewicz duński, Hamlet, królewicz duński, Hamlet, Hamlet, Hamlet, książę duński, Hamlet, królewicz duński, Hamlet, królewicz duński, Hamlet, Hamlet, królewicz duński, Hamlet, królewicz duński, Hamlet, królewicz duński, Hamlet, Hamlet, Hamlet, królewicz duński, Tragiczna historia Hamleta, księcia Danii, Hamlet, królewicz duński, Tragiczna historia Hamleta księcia Danii, Hamlet, Hamlet, książę Danii, Hamlet, królewicz duński, Hamlet, Hamlet, książę Danii, Hamlet, książę Danii, Hamlet, Hamlet, królewicz duński, Hamlet, królewicz duński, Hamlet, królewicz duński"
"2033";"What is work of painter of Cultural Revolution ?";"writer, teacher, poet, politician, librarian, revolutionary, calligrapher, philosopher, strategist, political theorist, actor, politician, film actor"
"2034";"what is the end time for Southampton has country as Kingdom of England ?";"1707-04-30T00:00:00Z"
"2035";"What is coat of arms of findspot of lithium ?";"Coat of arms of Sweden"
"2036";"What is broadcast by of NTV ?";"Детский час (телепередача)"
"2037";"What is HanCinema film ID of Oldboy ?";"Old_Boy"
"2038";"What is tracklist of A Day in the Life ?";""
"2039";"Give me city of India that contains the word warangal in their name";"Warangal"
"2040";"What is member of of David Hilbert that is start time is 1932-0-0 ?";"German Academy of Sciences Leopoldina"
"2041";"Give me superseded scientific theory that contains the word vitalism in their name";"vitalism"
"2042";"What is age of majority of Philippines ?";"18, 21"
"2043";"What is master of Thomas Eakins, that has students is Auguste Alleaume ?";"Jean-Léon Gérôme"
"2044";"Did Green_Day genre hard rock and alternative rock ?";"False"
"2045";"What is YouTube video ID of Zaha Hadid ?";"sby2DTTM2_Q"
"2046";"What is award received of Shakira that is point in time is 2006-2-8 ?";"Latin Grammy Award for Song of the Year, Latin Grammy Award for Best Female Pop Vocal Album, Latin Grammy Award for Album of the Year, Grammy Award for Best Latin Rock or Alternative Album, Latin Grammy Award for Record of the Year, Billboard Spirit of Hope Award"
"2047";"What is year of death of coined of boron ?";"1829-05-29T00:00:00Z"
"2048";"What is end period of Neolithic era ?";"Evolutionary origin of religions"
"2049";"What is nominated for of Cecil Beaton that is point in time is 1960-0-0 ?";"Tony Award for Best Scenic Design in a Musical"
"2050";"What is etymology of Society of Jesus, that has known as is Gesù Cristo ?";"Jesus"
"2051";"What is rank of taxon parent of Sirenia ?";"class, infraclass"
"2052";"What is nominated for of Steve Buscemi that is for work is Boardwalk Empire ?";"Primetime Emmy Award for Outstanding Lead Actor in a Drama Series, Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Drama Series, Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series, Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series, Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Drama Series, Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Drama Series, Satellite Award for Best Actor – Television Series Drama, Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series, Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Drama Series, TCA Award for Individual Achievement in Drama, Primetime Emmy Award for Outstanding Lead Actor in a Drama Series, Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series"
"2053";"what is the end time for Andrew Johns has member of sports team as Newcastle Knights ?";"2007-01-01T00:00:00Z"
"2054";"what is the parliamentary term for François Mitterrand has position held as member of the French National Assembly ?";"4th legislature of the Fifth French Republic, 2nd legislature of the Fifth French Republic, 3rd legislature of the Fifth French Republic"
"2055";"What is software version of Minecraft that is applies to part is Minecraft ?";""
"2056";"What is Soccerbase manager ID of José Mourinho ?";"1908"
