Question|WH|WH-Bigram|WH-POS|WH-NBOR-POS|Root-POS|Class
Who invented the paper clip ?|invented|Who invented invented the|WDT|DT|VBD|HUM
Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?|marry|Whom did marry after|WDT|IN|VB|HUM
How many times in his 16-year National Basketball Associaton career was John Havlicek a member of the all-star team ?|was|How many was John|WDT|NNP|VBD|NUM
What city or state do the most gay men live in ?|do|What city do the|WDT|DT|VBP|LOC
Shea and Gould had an office in Los Angeles for how long before closing it ?|how|had an how long|WRB|RB|VBD|NUM
What word occurs 46 , 227 times in the Bible ?|occurs|What word occurs 46|WDT|CD|VBZ|ENTY
How can you be happy ?|be|How can be happy|WDT|JJ|VB|DESC
How would someone go about becoming an organ donor ?|go|How would go about|WDT|IN|VB|DESC
What year did Degas create the bronze sculpture , `` Fourth Position Front ? ''|create|What year create the|WDT|DT|VB|NUM
What composer was awarded the Medal of Honor by Franklin D. Roosevelt ?|awarded|What composer awarded the|WDT|DT|VBN|HUM
How many URL extensions are there ? and what are they ?|are|How many are there|WDT|RB|VBP|NUM
How long after intercourse does it take to find out if you are pregnant ?|take|How long take to|WDT|TO|VB|NUM
What does U.S.S.R. stand for ?|stand|What does stand for|WDT|IN|VB|ABBR
Who created the Fantastic Four , Hulk , and Thor ?|created|Who created created the|WDT|DT|VBD|HUM
What is a fear of gravity ?|is|What is is a|WDT|DT|VBZ|ENTY
Who is the composer of `` Canon in D Major '' ?|is|Who is is the|WDT|DT|VBZ|HUM
What did n't Rocky Marciano do in his pro boxing career ?|do|What did do in|WDT|IN|VBP|DESC
Where are all European and American eels born ?|are|Where are are all|WDT|DT|VBP|LOC
Who was the author of the novel `` Far From the Madding Crowd '' ?|was|Who was was the|WDT|DT|VBD|HUM
What is the definition of ` graphic details ' ?|is|What is is the|WDT|DT|VBZ|DESC
What was `` America 's recessed-filter cigarette '' ?|was|What was was `|WDT|``|VBD|ENTY
What kind of dog is Scooby Doo ?|is|What kind is Scooby|WDT|NNP|VBZ|ENTY
What is the function of the appendix ?|is|What is is the|WDT|DT|VBZ|DESC
What department store heir is responsible for raising a three-ton safe from the underwater wreckage of the Andrea Doria ?|is|What department is responsible|WDT|JJ|VBZ|HUM
Which sex is twice as likely to contract leprosy ?|is|Which sex is twice|WDT|RB|VBZ|ENTY
What was the first town to be chartered in Vermont ?|was|What was was the|WDT|DT|VBD|LOC
What state has the longest Great Lakes shoreline ?|has|What state has the|WDT|DT|VBZ|LOC
What U.S. state ends with a G ?|ends|What U.S. ends with|WDT|IN|VBZ|LOC
How many varieties of twins are there ?|are|How many are there|WDT|RB|VBP|NUM
What is a Cartesian Diver ?|is|What is is a|WDT|DT|VBZ|DESC
What are the largest libraries in the US ?|are|What are are the|WDT|DT|VBP|LOC
How many people live in the Falklands ?|live|How many live in|WDT|IN|VBP|NUM
Who was Camp David named for ?|named|Who was named for|WDT|IN|VBD|HUM
What document did President Andrew Johnson want a copy of placed under his head upon his burial ?|want|What document want a|WDT|DT|VBP|ENTY
Who portrayed `` the man without a face '' in the movie of the same name ?|portrayed|Who portrayed portrayed `|WDT|``|VBD|HUM
What happened in dogtown in 1899 to make that year remembered ?|happened|What happened happened in|WDT|IN|VBD|DESC
What wheel did Blaise Pascal invent in a search for perpetual motion ?|invent|What wheel invent in|WDT|IN|VB|ENTY
How much money was the minimum wage in 1991 ?|was|How much was the|WDT|DT|VBD|NUM
In what year was the first patent for the pull-tab opener on cans obtained ?|was|what year was the|WDT|DT|VBD|NUM
What country boasts the most dams ?|boasts|What country boasts the|WDT|DT|VBZ|LOC
What is the regular price ?|is|What is is the|WDT|DT|VBZ|NUM
What Metropolis landmark was first introduced in the Superman cartoons of the 1940 's ?|introduced|What Metropolis introduced in|WDT|IN|VBN|LOC
Where can one find Mozambique ?|find|Where can find Mozambique|WDT|NNP|VB|LOC
How do you recognize anorexia ?|recognize|How do recognize anorexia|WDT|NNS|VB|DESC
What Mary Tyler Moore Show regular came into the world as Tadeus Wladyslaw Konopka ?|came|What Mary came into|WDT|IN|VBD|ENTY
In what city is the US Declaration of Independence located ?|is|what city is the|WDT|DT|VBZ|LOC
What is the largest variety of cactus ?|is|What is is the|WDT|DT|VBZ|DESC
Who won the first World Series ?|won|Who won won the|WDT|DT|VBD|HUM
What did Aaron Hass write ?|write|What did write ?|WDT|.|VB|ENTY
Who is Samuel Pickering ?|is|Who is is Samuel|WDT|NNP|VBZ|HUM
What was the business of the animated Sky Hawks ?|was|What was was the|WDT|DT|VBD|HUM
Who was credited with saying : `` I never met a man I did n't like '' ?|credited|Who was credited with|WDT|IN|VBN|HUM
What overalls are named for Dungri , a suburb of Bombay ?|named|What overalls named for|WDT|IN|VBN|ENTY
Why do rooftops give off steam after a big rainstorm ?|give|Why do give off|WDT|RP|VB|DESC
What nationality was Jackson Pollock ?|was|What nationality was Jackson|WDT|NNP|VBD|LOC
How much of the earth 's surface is permanently frozen ?|frozen|How much frozen ?|WDT|.|VBN|NUM
What is the connection between New Krypton and Daxam ?|is|What is is the|WDT|DT|VBZ|ENTY
When was Queen Victoria born ?|born|When was born ?|WDT|.|VBN|NUM
How many people were executed for Abraham Lincoln 's assassination ?|executed|How many executed for|WDT|IN|VBN|NUM
What must a Las Vegas blackjack dealer do when he reaches 16 ?|when|What must do when when he|WRB|PRP|VB|DESC
What is worth seeing in Reims ?|is|What is is worth|WDT|JJ|VBZ|LOC
What type of performer is Ileana Cotrubas ?|is|What type is Ileana|WDT|NNP|VBZ|ENTY
When was Yemen reunified ?|reunified|When was reunified ?|WDT|.|VBN|NUM
What line of candy products included Super Skrunch and Peanut Butter Oompas ?|included|What line included Super|WDT|NNP|VBD|ENTY
Why did the Anglican church split from the Vatican ?|split|Why did split from|WDT|IN|NN|DESC
What organization has a Security Council ?|has|What organization has a|WDT|DT|VBZ|HUM
How would I find the price of different organs that have been donated ?|that|How would find the that have|WDT|VBP|VB|DESC
What Mexican leader was shot dead in 1923 ?|shot|What Mexican shot dead|WDT|JJ|VBN|HUM
What does NECROSIS mean ?|mean|What does mean ?|WDT|.|VB|ABBR
What is magnetar ?|is|What is is magnetar|WDT|NN|VBZ|DESC
What feud ended with a marriage in Kentucky on March 21 , 1891 ?|ended|What feud ended with|WDT|IN|VBD|ENTY
What color is the stripe along each side of a Coho salmon ?|is|What color is the|WDT|DT|VBZ|ENTY
What is the federal minimum wage ?|is|What is is the|WDT|DT|VBZ|NUM
Mississippi is nicknamed what ?|what|nicknamed what what ?|WP|.|VBN|ENTY
What are the unemployment statistics for the years 1965 and 1990 ?|are|What are are the|WDT|DT|VBP|NUM
Where is Santa Lucia ?|is|Where is is Santa|WDT|NNP|VBZ|LOC
What female painter produced primitives of rural New England life ?|produced|What female produced primitives|WDT|NNS|VBD|HUM
What are names of two old men who appear in the serial tv Muppets Show ?|who|What are are names who appear|WP|VBP|VBP|HUM
What war saw battles at Parrot 's Beak and Black Virgin ?|saw|What war saw battles|WDT|NNS|VBD|ENTY
What should you yell to hail a taxi in Madrid ?|yell|What should yell to|WDT|TO|VB|DESC
What is the horsepower of the shuttle boosters ?|is|What is is the|WDT|DT|VBZ|NUM
What year did Apartheid start ?|start|What year start ?|WDT|.|VB|NUM
Who created Big Ben ?|created|Who created created Big|WDT|NNP|VBD|HUM
What city is found in the city of OZ ?|found|What city found in|WDT|IN|VBN|LOC
What ever happened to the once popular Yale Lock Company ?|happened|What ever happened to|WDT|IN|VBD|DESC
Name the Marvel team loosely based on DC 's Justice League of America ?|Name|Name the|WDT|DT|VB|HUM
What did a 16th-century Aztec athlete get for putting a rubber ball through a ring ?|get|What did get for|WDT|IN|VBP|ENTY
What populous state covers 49 , 576 square miles ?|covers|What populous covers 49|WDT|CD|VBZ|LOC
What college football team did Knute Rockne build into a power ?|did|What college did Knute|WDT|NNP|VBD|HUM
In what state was there an 11 million gallon oil spill ?|was|what state was there|WDT|EX|VBD|LOC
When did Aldous Huxley write , `` Brave New World '' ?|write|When did write ,|WDT|,|VBP|NUM
What country did the ancient Romans refer to as Hibernia ?|refer|What country refer to|WDT|IN|VBP|LOC
In what high-risk business venture did Jimmy the Greek bet and lose ?|did|what high did Jimmy|WDT|NNP|VBD|HUM
What do chefs call The Master Spice ?|call|What do call The|WDT|DT|VB|ENTY
What is the abbreviation of General Motors ?|is|What is is the|WDT|DT|VBZ|ABBR
What is a Devo hat ?|is|What is is a|WDT|DT|VBZ|DESC
How long was the longest hiccup attack ?|was|How long was the|WDT|DT|VBD|NUM
What kind of weapons were used in Medieval warfare ?|used|What kind used in|WDT|IN|VBN|ENTY
How many people live in Tokyo ?|live|How many live in|WDT|IN|VBP|NUM
What fruit-topped actress was known as The Brazilian Bombshell ?|known|What fruit known as|WDT|IN|VBN|HUM
What are birds descendents of ?|are|What are are birds|WDT|NNS|VBP|ENTY
When the Tutankhamun exhibit was on display in the U.S. , what moving company transported it ?|transported|When the what moving transported it|WDT|PRP|VBD|HUM
Which Kevin Costner movie involves the Sioux Indians ?|involves|Which Kevin involves the|WDT|DT|VBZ|ENTY
Who played the title role in My Favorite Martian ?|played|Who played played the|WDT|DT|VBD|HUM
How does a scientific calculator work ?|work|How does work ?|WDT|.|NN|DESC
What is a fear of fur ?|is|What is is a|WDT|DT|VBZ|ENTY
Who invented the game Scrabble ?|invented|Who invented invented the|WDT|DT|VBD|HUM
What part of their attire were `` pothooks '' to cowboys of the Old West ?|were|What part were `|WDT|``|VBD|ENTY
When did humans first begin to write history seriously ?|begin|When did begin to|WDT|TO|VB|NUM
Why do we have to go to school ?|have|Why do have to|WDT|TO|VB|DESC
What is Toulmin logic ?|is|What is is Toulmin|WDT|NNP|VBZ|DESC
A corgi is a kind of what ?|what|is a what ?|WP|.|VBZ|ENTY
What city in the U.S. experienced the most growth recently ?|experienced|What city experienced the|WDT|DT|VBD|LOC
What is a dangling participle ?|is|What is is a|WDT|DT|VBZ|DESC
What Tokyo street glitters with famed department stores and nightclubs ?|glitters|What Tokyo glitters with|WDT|IN|NNS|LOC
What was the average life expectancy during the Stone Age ?|was|What was was the|WDT|DT|VBD|NUM
When Mighty Mouse was conceived , what was his original name ?|was|When Mighty what was was his|WDT|PRP$|VBD|HUM
What is the origin of the peace symbol ?|is|What is is the|WDT|DT|VBZ|DESC
What group starred in the movie Rock Around the Clock ?|group|What group group starred|WDT|VBN|NN|HUM
How many U.S. presidents were assassinated during Queen Victoria 's reign ?|assassinated|How many assassinated during|WDT|IN|VBN|NUM
When was the first flush toilet invented ?|invented|When was invented ?|WDT|.|VBN|NUM
What is Nathan Hamill 's role in the new Star Wars prequel ?|is|What is is Nathan|WDT|NNP|VBZ|HUM
How many disks does each player have in a four-handed game of Crokinole ?|have|How many have in|WDT|IN|VB|NUM
How old is the sun ?|is|How old is the|WDT|DT|VBZ|NUM
What percentage of children between the ages of two and eleven watch ` The Simpsons ' ?|watch|What percentage watch `|WDT|``|VBP|NUM
How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?|find|How can find a|WDT|DT|VB|DESC
How do I write to my Congressman ?|write|How do write to|WDT|IN|VB|DESC
How many years ago did Led Zeppelin release its last album ?|ago|How many ago did|WDT|VBD|RB|NUM
What is the term for a group of geese ?|is|What is is the|WDT|DT|VBZ|ENTY
How many people was Randy Craft convicted of killing ?|was|How many was Randy|WDT|NNP|VBD|NUM
What was the name of the famous battle between Texas and Mexico ?|was|What was was the|WDT|DT|VBD|ENTY
What country are you in if you woo in the Wu dialect ?|are|What country are you|WDT|PRP|VBP|LOC
What do you call a Poker hand with five cards of the same suit ?|call|What do call a|WDT|DT|VB|ENTY
What New York Yankee was known as The Iron Horse ?|known|What New known as|WDT|IN|VBN|HUM
Who is considered The First Lady of the American Stage ?|considered|Who is considered The|WDT|DT|VBN|HUM
Who penned : `` Neither a borrower nor a lender be '' ?|penned|Who penned penned :|WDT|:|VBD|HUM
What is moxie ?|is|What is is moxie|WDT|NN|VBZ|DESC
What was the first Sam Spade novel ?|was|What was was the|WDT|DT|VBD|ENTY
What song did Patti Page set people dancing to in 1950 ?|set|What song set people|WDT|NNS|VBD|ENTY
Who headed Hitler 's infamous Gestapo ?|headed|Who headed headed Hitler|WDT|NNP|VBD|HUM
What South American city features the exclusive Copacabana Beach and Ipanema ?|features|What South features the|WDT|DT|VBZ|LOC
What German city do Italians call The Monaco of Bavaria ?|call|What German call The|WDT|DT|VB|LOC
What island group contains Jersey , Guernsey , Sark and Herm ?|contains|What island contains Jersey|WDT|NNP|VBZ|LOC
What is a fear of strong light ?|is|What is is a|WDT|DT|VBZ|ENTY
What is a person called that likes fire ?|that|What is is a that likes|WDT|VBZ|VBZ|HUM
Where was helium first discovered , hence its name ?|discovered|Where was discovered ,|WDT|,|VBN|LOC
What is the best way to overcome a fear ?|is|What is is the|WDT|DT|VBZ|ENTY
Name a South African diamond producer ?|Name|Name a|WDT|DT|VB|HUM
Who made the musical plea Be True to Your School ?|made|Who made made the|WDT|DT|VBD|HUM
What French designer declared : `` The jean is the destructor ! It is a dictator ! It is destroying creativity. The jean must be stopped ! '' ?|declared|What French declared :|WDT|:|VBD|HUM
What season is the setting for Shakespeare 's Midsummer Night 's Dream ?|is|What season is the|WDT|DT|VBZ|NUM
Name a band which was famous in the 1960 's .|which|Name a which was|WDT|VBD|VB|HUM
What comedian was banned from the Ed Sullivan Show for allegedly making an obscene gesture at the show 's host ?|banned|What comedian banned from|WDT|IN|VBN|HUM
What country is the setting for Edgar Allan Poe 's The Pit and the Pendulum ?|is|What country is the|WDT|DT|VBZ|LOC
What Apollo 11 astronaut minded the store while Armstrong and Aldrin made history ?|minded|What Apollo minded the|WDT|DT|VBD|HUM
What is the current ticket fare from from Cairo to Barbados ?|is|What is is the|WDT|DT|VBZ|NUM
What is the second highest mountain peak in the world ?|is|What is is the|WDT|DT|VBZ|LOC
What Good Little Witch is Casper 's girlfriend ?|is|What Good is Casper|WDT|NNP|VBZ|HUM
In which Tennessee Williams play is one of the characters killed and devoured by a mob of starving children ?|is|which Tennessee is one|WDT|CD|VBZ|ENTY
What was the nickname of Frederick I , Holy Roman Emperor and King of Germany ?|was|What was was the|WDT|DT|VBD|HUM
What war did the Potsdam Conference follow ?|follow|What war follow ?|WDT|.|VB|ENTY
What 's the most common non-contagious disease in the world ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
What month , date , and year did Charles I die ?|die|What month die ?|WDT|.|VBP|NUM
How many cubic feet of space does a gallon of water occupy ?|does|How many does a|WDT|DT|VBZ|NUM
What is the hair style called that new military recruits receive ?|called|What is called that|WDT|IN|VBD|DESC
What 's the world 's largest cathedral ?|'s|What 's 's the|WDT|DT|VBZ|LOC
What effects do nitrates have on the environment ?|have|What effects have on|WDT|IN|VB|DESC
What is Nitrox diving ?|is|What is is Nitrox|WDT|NNP|VBZ|DESC
What three European countries begin with the letter A ?|begin|What three begin with|WDT|IN|VBP|LOC
What happened in the Long March ?|happened|What happened happened in|WDT|IN|VBD|DESC
What was the name of Hitler 's unsuccessful attempt to overthrow the Bavarian government in Munich in 1923 ?|was|What was was the|WDT|DT|VBD|ENTY
How can I find online spelling ?|find|How can find online|WDT|JJ|VB|DESC
How many earthworms are in a single pasture ?|are|How many are in|WDT|IN|VBP|NUM
Who made Stonehenge ?|made|Who made made Stonehenge|WDT|NNP|VBD|HUM
What is the average hourly rate of American workers ?|is|What is is the|WDT|DT|VBZ|NUM
What sport features snatches and clean jerks ?|features|What sport features snatches|WDT|NNS|VBZ|ENTY
Who 's the founder and editor of The National Review ?|'s|Who 's 's the|WDT|DT|VBZ|HUM
In what year did they build the Berlin Wall ?|build|what year build the|WDT|DT|VB|NUM
Who was the first governor of West Virginia ?|was|Who was was the|WDT|DT|VBD|HUM
What 's the world 's longest suspension bridge ?|'s|What 's 's the|WDT|DT|VBZ|LOC
What Asian city boasts the world 's biggest bowling alley ?|boasts|What Asian boasts the|WDT|DT|VBZ|LOC
When will Jean Aeul publish her next book ?|publish|When will publish her|WDT|PRP$|VB|NUM
What famous soldier was born in Europe , died in Asia , and was laid to rest in Africa ?|born|What famous born in|WDT|IN|VBN|HUM
When it 's time to relax , what one beer stands clear ?|stands|When it what one stands clear|WDT|JJ|VBZ|ENTY
What culture developed the idea of potlatch ?|developed|What culture developed the|WDT|DT|VBD|HUM
What baseball team became the Minnesota Twins ?|became|What baseball became the|WDT|DT|VBD|HUM
What kind of guitar did Jimi Hendrix play ?|play|What kind play ?|WDT|.|VB|ENTY
What were the first three cities to have a population of more than a million ?|were|What were were the|WDT|DT|VBD|LOC
What constellation contains the twins Castor and Pollux ?|contains|What constellation contains the|WDT|DT|VBZ|LOC
How many meters are in a mile ?|are|How many are in|WDT|IN|VBP|NUM
What is a gas release event ?|is|What is is a|WDT|DT|VBZ|DESC
What James Michener book is subtitled Spanish Travels and Reflections ?|subtitled|What James subtitled Spanish|WDT|JJ|VBN|ENTY
What famed London criminal court was once a feudal castle ?|was|What famed was once|WDT|RB|VBD|LOC
How many milligrams are in a gram ?|are|How many are in|WDT|IN|VBP|NUM
What stringed weapon fires a bolt ?|bolt|What stringed bolt ?|WDT|.|NN|ENTY
Where did he get the title ?|get|Where did get the|WDT|DT|VB|LOC
Where can I find a large list of 5 to 6 letter words ?|find|Where can find a|WDT|DT|VB|LOC
What is Michael Jackson 's middle name ?|is|What is is Michael|WDT|NNP|VBZ|HUM
Who was the first woman to fly solo across the Atlantic ?|was|Who was was the|WDT|DT|VBD|HUM
How long is human gestation ?|is|How long is human|WDT|JJ|VBZ|NUM
What does `` Semper Fidelis '' mean ?|mean|What does mean ?|WDT|.|VBP|DESC
What kind of suit did true hepcats wear in 1942 ?|wear|What kind wear in|WDT|IN|VBP|ENTY
Where does Mother Angelica live ?|live|Where does live ?|WDT|.|VB|LOC
How can I find out my Moon sign ?|find|How can find out|WDT|RP|VB|DESC
Why does a candle need a wick ?|need|Why does need a|WDT|DT|VB|DESC
Musician Ray Charles plays what instrument ?|what|plays what what instrument|WDT|NN|VBZ|ENTY
What were the three prophecies the witches make to Macbeth ?|were|What were were the|WDT|DT|VBD|DESC
What 's the population of Mississippi ?|'s|What 's 's the|WDT|DT|VBZ|NUM
Who started the Dominos Pizza chain ?|started|Who started started the|WDT|DT|VBD|HUM
In what film did Steven Spielberg 's dog star as the main character 's dog ?|what|In what what film|WDT|NN|IN|ENTY
What are all the different kinds of contraceptives ?|are|What are are all|WDT|PDT|VBP|ENTY
How old is Jeremy Piven ?|is|How old is Jeremy|WDT|NNP|VBZ|NUM
What is the history of yo-yos ?|is|What is is the|WDT|DT|VBZ|DESC
Which NBA players had jersey number 0 ?|had|Which NBA had jersey|WDT|NN|VBD|HUM
What chocolate company gives you a one-pound kiss ?|gives|What chocolate gives you|WDT|PRP|VBZ|HUM
How does one correctly pronounce ` qigong ' ?|pronounce|How does pronounce `|WDT|``|VB|DESC
What fossilizes to form coprolite ?|fossilizes|What fossilizes fossilizes to|WDT|TO|NNS|ENTY
How many colored squares are there on a Rubik 's Cube ?|are|How many are there|WDT|RB|VBP|NUM
Where is the Mayo Clinic ?|is|Where is is the|WDT|DT|VBZ|LOC
What Caribbean island is sometimes called Little England ?|called|What Caribbean called Little|WDT|NNP|VBN|LOC
Where is Amsterdam ?|is|Where is is Amsterdam|WDT|NNP|VBZ|LOC
Where can I find the lyrics for the song ` Getting Married Today ' from the musical ` Company ' ?|find|Where can find the|WDT|DT|VB|LOC
What 's another word that means `` knows all '' ?|that|What 's 's another that means|WDT|VBZ|VBZ|ENTY
Who is the famous movie star who also acted as sewer commissioner of Provo Canyon , Utah ?|who|Who is is the who also|WP|RB|VBZ|HUM
What Australian city became the home of the America 's Cup ?|became|What Australian became the|WDT|DT|VBD|LOC
Aspartame is known by what other name ?|what|known by what other|WP|JJ|VBN|ENTY
What is pasta ?|is|What is is pasta|WDT|NN|VBZ|DESC
Name Randy Craft 's lawyer .|Name|Name Randy|WDT|NNP|VB|HUM
What color is `` ash '' ?|is|What color is `|WDT|``|VBZ|ENTY
What is the best distance education university or college ?|is|What is is the|WDT|DT|VBZ|HUM
What river does the Grand Coulee Dam dam ?|dam|What river dam ?|WDT|.|NN|LOC
How often are quadruplets born ?|born|How often born ?|WDT|.|VBN|NUM
How does psorisis disappear ?|disappear|How does disappear ?|WDT|.|VB|DESC
How many presidents have died on the 4th of July ?|died|How many died on|WDT|IN|VBN|NUM
What three colors are on the French flag ?|are|What three are on|WDT|IN|VBP|ENTY
What 's the mystery of the Bermuda Triangle ?|'s|What 's 's the|WDT|DT|VBZ|DESC
What are the seven wonders of the world ?|are|What are are the|WDT|DT|VBP|ENTY
What does CNN stand for ?|stand|What does stand for|WDT|IN|VB|ABBR
What is a person called that likes fire ?|that|What is is a that likes|WDT|VBZ|VBZ|HUM
Who portrayed Vincent Van Gogh in Lust for Life ?|portrayed|Who portrayed portrayed Vincent|WDT|NNP|VBD|HUM
What constitutes an adult ?|constitutes|What constitutes constitutes an|WDT|DT|VBZ|ENTY
What is a reliable site that I can download Heretic 2 ?|that|What is is a that I|WDT|PRP|VBZ|LOC
What is a neurosurgeon ?|is|What is is a|WDT|DT|VBZ|DESC
What baseball outcome required nine balls in 1879 , eight balls in 1880 and seven balls in 1881 ?|required|What baseball required nine|WDT|CD|VBD|ENTY
What are amaretto biscuits ?|are|What are are amaretto|WDT|NN|VBP|DESC
What common ailment can 't you catch at the North Pole ?|catch|What common catch at|WDT|IN|VBP|ENTY
What season begins with the vernal equinox ?|begins|What season begins with|WDT|IN|VBZ|NUM
Who was known as the Time Master in comic books ?|known|Who was known as|WDT|IN|VBN|HUM
What was the name of Roy Rogers 's dog ?|was|What was was the|WDT|DT|VBD|ENTY
What TV series changed the names to protect the innocent ?|changed|What TV changed the|WDT|DT|VBD|ENTY
Where did cable cars first roll down Clay Street in 1873 ?|roll|Where did roll down|WDT|RP|VBP|LOC
What is George Lucas 's e-mail address ?|is|What is is George|WDT|NNP|VBZ|LOC
How do I give a good massage ?|give|How do give a|WDT|DT|VB|DESC
Who is the father of the computer ?|is|Who is is the|WDT|DT|VBZ|HUM
What is the origin of `` jiggy '' as in getting jiggy with it ?|is|What is is the|WDT|DT|VBZ|DESC
What is the origin of a.m. and p.m. ?|is|What is is the|WDT|DT|VBZ|DESC
What is the definition of cosmology ?|is|What is is the|WDT|DT|VBZ|DESC
What is the name of the dog on the Cracker Jack box ?|is|What is is the|WDT|DT|VBZ|ENTY
What are manifest and latent function theories ?|are|What are are manifest|WDT|JJ|VBP|DESC
What William Styron book is about a black preacher who leads a slave revolt ?|who|What William is about who leads|WP|VBZ|VBZ|ENTY
What is the chemical symbol for nitrogen ?|is|What is is the|WDT|DT|VBZ|ENTY
Who said : `` Old soldiers never die ; they just fade away '' ?|said|Who said said :|WDT|:|VBD|HUM
What National League baseball team employed 72 third baseemen in its first 2 seasons ?|employed|What National employed 72|WDT|CD|VBD|HUM
What are snowballs to a hot-rodder ?|are|What are are snowballs|WDT|NNS|VBP|DESC
How long were Tyrannosaurus Rex 's teeth ?|were|How long were Tyrannosaurus|WDT|NNP|VBD|NUM
What is the origin of the word Ozymandias ?|is|What is is the|WDT|DT|VBZ|DESC
Who 's the only man to have won the Olympic decathlon twice ?|'s|Who 's 's the|WDT|DT|VBZ|HUM
What Kenyan city is the safari center for East Africa ?|is|What Kenyan is the|WDT|DT|VBZ|LOC
Why do men snore ?|snore|Why do snore ?|WDT|.|VB|DESC
What causes `` rolling thunder '' ?|causes|What causes causes `|WDT|``|VBZ|DESC
What is the name of Miss India 1994 ?|is|What is is the|WDT|DT|VBZ|HUM
What four U.S. states have active volcanoes ?|have|What four have active|WDT|JJ|VBP|LOC
What 's the setting of John Le Carre 's A Small Town in Germany ?|'s|What 's 's the|WDT|DT|VBZ|DESC
What does an echidna look like ?|look|What does look like|WDT|IN|VB|DESC
What is the secret of the universe ?|is|What is is the|WDT|DT|VBZ|DESC
Who was the second man to walk on the moon ?|was|Who was was the|WDT|DT|VBD|HUM
What major Victorian novelist spent as much time working for the post office as he did writing ?|spent|What major spent as|WDT|RB|VBD|HUM
What caused an adjournment of the 25th anniversary session of the United Nations General Assembly ?|caused|What caused caused an|WDT|DT|VBD|DESC
The major league baseball team in Pittsburgh is called what ?|what|called what what ?|WP|.|VBN|HUM
What is the name of the Islamic counterpart to the Red Cross ?|is|What is is the|WDT|DT|VBZ|ENTY
What year were the Olympic Games played in where Nadia Comaneci became popular ?|where|What year played in where Nadia|WRB|NNP|VBD|NUM
What is glass made of ?|made|What is made of|WDT|IN|VBN|ENTY
How did Lee Harvey Oswald purchase his rifle ?|purchase|How did purchase his|WDT|PRP$|VBP|DESC
How do I sing like Elvis Presley ?|sing|How do sing like|WDT|IN|VB|DESC
What are the biggest Indian airports ?|are|What are are the|WDT|DT|VBP|LOC
What is the folklore story regarding birds ' nests and birds in Christmas trees ?|is|What is is the|WDT|DT|VBZ|ENTY
What are the world 's three largest oceans , in order of size ?|are|What are are the|WDT|DT|VBP|LOC
Who is the Pope ?|is|Who is is the|WDT|DT|VBZ|HUM
Where on the Internet can I find information on laundry detergent ?|find|Where on find information|WDT|NN|VB|LOC
What do the French call La Manche ?|call|What do call La|WDT|NNP|NN|ENTY
What 's an easy way to count the approximate number of fish in a lake ?|'s|What 's 's an|WDT|DT|VBZ|ENTY
How do you clean up a cache ?|clean|How do clean up|WDT|RP|VB|DESC
What was the name of Aristotle Onassis 's yacht ?|was|What was was the|WDT|DT|VBD|ENTY
What is a fear of being dirty ?|is|What is is a|WDT|DT|VBZ|ENTY
What animal occurs in Spielberg 's `` Jaws '' ?|occurs|What animal occurs in|WDT|IN|VBZ|ENTY
What 's the Red Planet ?|'s|What 's 's the|WDT|DT|VBZ|DESC
The Shea & Gould law firm had an office in L.A. for how many years ?|how|had an how many|WRB|JJ|VBD|NUM
What 's the most common surname in America ?|'s|What 's 's the|WDT|DT|VBZ|HUM
How long does it take the typical American to eat 23 quarts of ice cream ?|take|How long take the|WDT|DT|VB|NUM
What is the difference between a fruit and a vegetable ?|is|What is is the|WDT|DT|VBZ|DESC
What kind of tree graces Lebanon 's flag ?|graces|What kind graces Lebanon|WDT|NNP|VBZ|ENTY
What is tumbled marble ?|tumbled|What is tumbled marble|WDT|NN|VBN|DESC
What are the various ways in which one can measure IT User Satisfaction Level ?|which|What are are the which one|WDT|PRP|VBP|ENTY
What city is sometimes called The Athens of Switzerland ?|called|What city called The|WDT|DT|VBN|LOC
Where did bocci originate ?|originate|Where did originate ?|WDT|.|VB|LOC
How does light travel through the void of space if there is no medium for it to ` wave ' or ` pulse ' .|travel|How does travel through|WDT|IN|VB|DESC
What are the Valdez Principles ?|are|What are are the|WDT|DT|VBP|DESC
How can I easily remove red wine stains from t-shirts ?|remove|How can remove red|WDT|JJ|VB|DESC
How do you write MLA style bibliographies for an Internet source ?|write|How do write MLA|WDT|NNP|VB|DESC
Who is Imam Hussain Ben Ali whom Shia people believe in ?|whom|Who is is Imam whom Shia|WP|NNP|VBZ|HUM
What is the origin of the word assassinate ?|is|What is is the|WDT|DT|VBZ|DESC
Where can I find information about Bob Barr , representative from Georgia ?|find|Where can find information|WDT|NN|VB|LOC
What is the frequency of VHF ?|is|What is is the|WDT|DT|VBZ|NUM
What are the Arabic Numerals from 1 to 10 ?|are|What are are the|WDT|DT|VBP|DESC
What does the policeman become in the Canadian edition of Monopoly ?|become|What does become in|WDT|IN|VB|ENTY
How many electoral votes does it take to win presidency ?|take|How many take to|WDT|TO|VB|NUM
What is digitalis ?|is|What is is digitalis|WDT|NNS|VBZ|DESC
What kind of flowers does detective Nero Wolfe raise ?|raise|What kind raise ?|WDT|.|VBP|ENTY
What was paper made of in the late 16th century ?|was|What was was paper|WDT|NN|VBD|ENTY
