,question,entities,resources,MuHeQA_Cand,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Spotlight
885,what political party's political ideology is radicalism,['Radicalism (historical)'],['Radicalism_(historical)'],"['Radicalism_(historical)', 'Radical_Party_(France)', 'The_Communal_Experience', 'Eros_+_Massacre', 'John_Belchem', 'Gordon_S._Wood', 'Fraye_Arbeter_Shtime', 'Hubert_Harrison', 'Radical_16', 'The_Industrial_Worker,_1840-1860']",['Radicalism_(historical)'],['Radicalism_(historical)'],['Radicalism_(historical)'],['Radicalism_(historical)'],"['Political_party', 'Ideology']"
886,What is benny frey's profession?,['Benny Frey'],['Benny_Frey'],"['Benny_Frey', 'Fred_Beckey', 'Free_(Benny_Golson_album)', 'Full_breakfast', 'Fred_Jones_(politician)', 'Fred_D._Beans', 'Jean-Baptiste_(songwriter)', 'MDNA_(album)', 'Hans_Koller', 'Daddy_Longlegs_(2009_film)']",['Benny_Frey'],['Benny_Frey'],['Benny_Frey'],['Benny_Frey'],['Benny_Frey']
887,what is frank loverde's sex,['Frank Loverde'],['Frank_Loverde'],"['Frank_Loverde', 'Frank_Lovece', 'Frank_Lovece_(musician)', 'List_of_8_Simple_Rules_episodes', 'The_O.C._(season_4)', 'I_Never_Loved_a_Man_the_Way_I_Love_You', 'According_to_Spike_Milligan', 'Tracks_(Bruce_Springsteen_album)', ""Who's_Zoomin'_Who%3F"", 'Playboy_Records']",['Frank_Loverde'],['Frank_Loverde'],['Frank_Loverde'],['Frank_Loverde'],['Frank_Loverde']
888,Who's a musician that plays soul music,['Soul music'],['Soul_music'],"['Soul_music', 'Rhythm_and_blues', 'Contemporary_R&B', 'Funk', 'Blue-eyed_soul', 'Psychedelic_soul', 'Intelligent_dance_music', 'Motown', 'James_Brown', 'VH1']",['Soul_music'],['Soul_music'],['Soul_music'],['Soul_music'],['Soul_music']
889,Where did william james beal die?,['William James Beal'],['William_James_Beal'],"[""Bill_O'Reilly_(political_commentator)"", 'William_James_Beal', 'List_of_Family_Guy_characters', 'List_of_Survivor_(American_TV_series)_contestants', 'James_Brown_Arena', 'List_of_supporting_Arrow_characters', 'School_District_36_Surrey', 'Battle_of_Atlanta', 'Jimmy_Somerville', 'List_of_Boston_Legal_characters']",['William_James_Beal'],['William_James_Beal'],['William_James_Beal'],['William_James_Beal'],['William_James_Beal']
890,What gender is carey mcwilliams?,['Carey McWilliams (journalist)'],['Carey_McWilliams_(journalist)'],"['Carey_McWilliams_(journalist)', 'America_Is_in_the_Heart']",['Carey_McWilliams_(journalist)'],['Carey_McWilliams_(journalist)'],['Carey_McWilliams_(journalist)'],['Carey_McWilliams_(journalist)'],"['Gender', 'Carey_McWilliams_(journalist)']"
891,Who directed the tv series milagro,['Milagro (The X-Files)'],['Milagro_(The_X-Files)'],['Milagro_(The_X-Files)'],['Milagro_(The_X-Files)'],['Milagro_(The_X-Files)'],['Milagro_(The_X-Files)'],['Milagro_(The_X-Files)'],['Milagro_(votive)']
892,What gender is Sholom Schwartzbard?,['Sholom Schwartzbard'],['Sholom_Schwartzbard'],"['Sholom_Schwartzbard', 'Schwartzbard_trial']",[],[],['Schwartzbard_trial'],['Schwartzbard_trial'],"['Gender', 'Sholom_Schwartzbard']"
893,who created fantastic man,['Fantastic Man'],['Fantastic_Man'],"['Spider-Man_book_series', 'List_of_Amalgam_Comics_publications', 'Fantastic_Man', 'Questprobe', ""List_of_Dexter's_Laboratory_episodes"", 'List_of_Marvel_Comics_characters:_F', 'List_of_Amalgam_Comics_characters', 'Spider-Man_and_the_Fantastic_Four', 'List_of_Marvel_Cinematic_Universe_films', 'Fantastic_Carburetor_Man']",['Fantastic_Man'],['Fantastic_Man'],['Fantastic_Man'],['Fantastic_Man'],['Fantastic_Man']
894,What is the name of an important Greek music composer?,['Composer'],['Composer'],"['Composer', 'Johnson_(composer)', 'Film_score', 'Kohei_Tanaka_(composer)', 'Chandrabose_(composer)', 'Shyam_(composer)', 'K._Chakravarthy', 'Patrick_Williams_(composer)', 'David_Whittaker_(video_game_composer)', 'Vidyasagar_(composer)']",['Composer'],['Composer'],['Composer'],['Composer'],"['Music_of_Greece', 'Composer']"
895,What artist makes rock music,['Rock music'],['Rock_music'],"['Folk_rock', 'British_folk_rock', 'Comedy_rock', 'Cambridge,_Ontario', 'Rock_&_Folk', '1960s_in_music', 'The_Company_(folk_rock_band)', 'Medieval_folk_rock', 'Billboard_charts', 'Rock_music']",['Rock_music'],['Rock_music'],['Rock_music'],['Rock_music'],['Rock_music']
896,where is målkjær born?,['Preben Elkjaer Larsen'],['Preben_Elkjær_Larsen'],"['Preben_Elkjær', '1984–85_Hellas_Verona_season']",['Preben_Elkjær'],['Preben_Elkjær'],['Preben_Elkjær'],['Preben_Elkjær'],[]
897,What film did alfred uhry contribute to?,['Alfred Uhry'],['Alfred_Uhry'],"['Alfred_Uhry', 'Alfred_Uhl', 'University_of_Houston–Clear_Lake', 'Driving_Miss_Daisy', 'The_Last_Night_of_Ballyhoo', 'LoveMusik', 'Robert_Waldman', ""Here's_Where_I_Belong"", 'The_Robber_Bridegroom_(musical)', 'Driving_Miss_Daisy_(2014_film)']",['Alfred_Uhry'],['Alfred_Uhry'],['Alfred_Uhry'],['Alfred_Uhry'],['Alfred_Uhry']
898,Which city was sean mcnamara born,['Sean McNamara (director)'],['Sean_McNamara_(director)'],"['Sean_McNamara_(director)', 'David_Brookwell', 'Bratz_(film)', '2018_Virginia_elections', 'The_Miracle_Season', ""The_King's_Daughter_(upcoming_film)"", 'Raise_Your_Voice', 'Galgameth', 'The_Suite_Life_Movie', 'Hollywood_Chaos']",[],[],['David_Brookwell'],['David_Brookwell'],"['City', 'Sean_McNamara_(director)']"
899,Who is an artist in the rock music genre?,['Rock music'],['Rock_music'],"['Folk_rock', 'British_folk_rock', 'Comedy_rock', 'Cambridge,_Ontario', 'Rock_&_Folk', '1960s_in_music', 'The_Company_(folk_rock_band)', 'Medieval_folk_rock', 'Billboard_charts', 'Rock_music']",['Rock_music'],['Rock_music'],['Rock_music'],['Rock_music'],"['Rock_music', 'Music_genre']"
900,Who published genesis rising: the universal crusade,['Genesis Rising: The Universal Crusade'],['Genesis_Rising:_The_Universal_Crusade'],['Genesis_Rising:_The_Universal_Crusade'],['Genesis_Rising:_The_Universal_Crusade'],['Genesis_Rising:_The_Universal_Crusade'],['Genesis_Rising:_The_Universal_Crusade'],['Genesis_Rising:_The_Universal_Crusade'],['Crusades']
901,who was born in templemore?,['Templemore'],['Templemore'],"['Templemore', 'Templemore,_Clonmore_and_Killea', 'Baron_Templemore', 'Harry_Chichester,_2nd_Baron_Templemore', 'Templemore_railway_station', 'Arthur_Chichester,_4th_Baron_Templemore', ""Our_Lady's_Secondary_School,_Templemore"", 'Garda_Síochána_College', 'Sir_John_Carden,_6th_Baronet', 'Templemore_(disambiguation)']",['Templemore'],['Templemore'],['Templemore'],"['Templemore', 'Templemore,_Clonmore_and_Killea']",['Templemore']
902,What is betty arvaniti's place of origin?,['Betty Arvaniti'],['Betty_Arvaniti'],"['Betty_Arvaniti', 'I_charavgi_tis_nikis', 'Thema_syneidiseos']",['Betty_Arvaniti'],['Betty_Arvaniti'],['Betty_Arvaniti'],['Betty_Arvaniti'],['Betty_Arvaniti']
903,what position does dan shannon play in baseball?,['Dan Shannon'],['Dan_Shannon'],"['Night_Court', 'List_of_Survivor_(American_TV_series)_contestants', 'Ardnacrusha', 'Dan_Shannon', 'List_of_minor_planets:_18001–19000', 'List_of_View_Askewniverse_characters', 'List_of_Grange_Hill_characters', 'San_Francisco_Ballet', 'List_of_minor_planets:_20001–21000', 'List_of_EastEnders_characters_(2008)']",['Dan_Shannon'],['Dan_Shannon'],['Dan_Shannon'],['Dan_Shannon'],['Dan_Shannon']
904,Who directed happy times,['Happy Times'],['Happy_Times'],"['List_of_Happy_Tree_Friends_episodes', 'Happy_Times', 'Based_on_Happy_Times', 'Second_Happy_Time', 'Tones_and_I', 'The_Year_of_Happiness_and_Love', 'The_Happy_Time', 'Happiness_Begins', 'Happy_Times_(film)', 'The_Drunk_and_On_Drugs_Happy_Funtime_Hour']",[],[],['The_Happy_Time'],['The_Happy_Time'],[]
905,What is ludwig scotty's gender?,['Ludwig Scotty'],['Ludwig_Scotty'],"['Ludwig_Scotty', 'August_Ludwig_Schott', 'Postmodern_architecture', '2016_Nauruan_parliamentary_election', 'The_Jolson_Story', '2004_Nauruan_parliamentary_election', '2000_Nauruan_parliamentary_election', 'Ignace_Reiss', '2007_Nauruan_presidential_election', '2003_Nauruan_parliamentary_election']",['Ludwig_Scotty'],['Ludwig_Scotty'],['Ludwig_Scotty'],['Ludwig_Scotty'],"['Ludwig_Scotty', 'Gender']"
906,what kind of album is the black angel,['The Black Angel (album)'],['The_Black_Angel_(album)'],"['Black_Angel_(album)', 'Sol_Invictus_(band)', 'Sweet_Black_Angel_(Pinetop_Perkins_album)', 'The_Black_Angels_(band)', 'Angélique_Kidjo', 'Eric_Paslay', 'Set_the_World_on_Fire_(Black_Veil_Brides_album)', 'Heartbreak_Weather', 'List_of_supporting_Harry_Potter_characters', 'Lord_Belial']",['Black_Angel_(album)'],['Black_Angel_(album)'],['Black_Angel_(album)'],"['The_Black_Angels_(band)', 'Black_Angel_(album)']",['Black_Angel']
907,What album was produced by kaci brown,['Kaci Brown'],['Kaci_Brown'],"['Kaci_Brown', 'List_of_minor_planets:_1001–2000', 'Anchorage,_Alaska', 'Phi_Brain:_Puzzle_of_God', 'The_Great_Khali', 'New_Waves', 'Brown_&_Gray', 'Humanz', 'Instigator_(album)', 'Tyler_Willis']",['Kaci_Brown'],['Kaci_Brown'],['Kaci_Brown'],['Kaci_Brown'],['Kaci_Brown']
908,what does shane youman do in baseball,['Shane Youman'],['Shane_Youman'],['Shane_Youman'],['Shane_Youman'],['Shane_Youman'],['Shane_Youman'],['Shane_Youman'],['Shane_Youman']
909,What film did john williams contribute music towards,['John Williams'],['John_Williams'],"['John_Williams', 'John_Williams_(disambiguation)', 'John_Williams,_1st_Baron_Williams_of_Thame', 'John_Williamson_(singer)', 'Walter_Jon_Williams', 'John_Coltrane', 'John_W._Boyle', 'John_Hay-Williams', 'John_M._S._Williams', 'John_Williams_(archbishop_of_York)']",['John_Williams'],['John_Williams'],['John_Williams'],['John_Williams'],[]
910,what is the name of a platform game found on the nintendo DS,['Platform game'],['Platform_game'],"['Platform_game', 'Fighting_game', 'Nintendo_Switch', 'Video_game', ""Shoot_'em_up"", 'Massively_multiplayer_online_game', 'Mario_(franchise)', 'List_of_platform_game_series', 'Linux_gaming', 'PlayStation_Network']",['Platform_game'],['Platform_game'],['Platform_game'],"['Platform_game', 'Fighting_game']","['Platform_game', 'Nintendo_DS']"
911,What's an atari game developed by imagic,['Imagic'],['Imagic'],"['Imagic', 'Image_Comics', 'Medical_imaging', 'Film', 'Disk_image', 'Imagine_Dragons', 'Getty_Images', 'Susceptibility_weighted_imaging', 'Magnetic_resonance_imaging', 'Aspect_ratio_(image)']",['Imagic'],['Imagic'],['Imagic'],"['Imagic', 'Image_Comics']",['Imagic']
912,What a gameplay mode in the amazing spider-man,['The Amazing Spider-Man (2012 video game)'],['The_Amazing_Spider-Man_(2012_video_game)'],"['The_Amazing_Spider-Man_(2012_video_game)', 'The_Amazing_Spider-Man_2_(2014_video_game)', 'The_Amazing_Spider-Man']","['The_Amazing_Spider-Man_(2012_video_game)', 'The_Amazing_Spider-Man_2_(2014_video_game)']",['The_Amazing_Spider-Man_(2012_video_game)'],['The_Amazing_Spider-Man_(2012_video_game)'],['The_Amazing_Spider-Man_(2012_video_game)'],['Spider-Man']
913,Where was leopold stokowski born?,['Leopold Stokowski'],['Leopold_Stokowski'],"['Leopold_Stokowski', 'Jan_Savitt', 'One_Hundred_Men_and_a_Girl', 'Olga_Samaroff', 'Rhapsody_on_a_Theme_of_Paganini', 'Emmett_Brown', 'Fantasia_(1940_film)', 'Fugue_in_G_minor,_BWV_578', 'American_Symphony_Orchestra', 'NBC_Symphony_Orchestra']",['Leopold_Stokowski'],['Leopold_Stokowski'],['Leopold_Stokowski'],['Leopold_Stokowski'],['Leopold_Stokowski']
914,which country is utah in,['Utah'],['Utah'],"['Utah', 'University_of_Utah', 'Ogden,_Utah', 'Provo,_Utah', 'Town', 'Utah_Jazz', 'Utah_Transit_Authority', 'Utah_State_University', 'List_of_Utah_State_Routes_deleted_in_1969', 'Utah_Blaze']",['Utah'],['Utah'],['Utah'],['Utah'],['Utah']
915,Who is the publisher of the game shrek super party,['Shrek Super Party'],['Shrek_Super_Party'],"['Shrek_Super_Party', 'Superfund', 'Potluck', 'Finisterre–Huon_languages', 'Polycephaly', '2007_British_Virgin_Islands_general_election', 'Graham_Kirkham,_Baron_Kirkham', 'Be_Good_at_It', 'First_United_Front', 'BHP_Shipping']",['Shrek_Super_Party'],['Shrek_Super_Party'],['Shrek_Super_Party'],['Shrek_Super_Party'],"['Publishing', 'Shrek']"
916,where was jean rousseau laid to rest,['Jean Rousseau (violist)'],['Jean_Rousseau_(violist)'],"['Sandy_Hook_Elementary_School_shooting', 'Jean_Rousseau_(violist)', 'Monsieur_de_Sainte-Colombe', 'Imperial_Violets_(operetta)']",['Jean_Rousseau_(violist)'],['Jean_Rousseau_(violist)'],"['Jean_Rousseau_(violist)', 'Monsieur_de_Sainte-Colombe']","['Jean_Rousseau_(violist)', 'Monsieur_de_Sainte-Colombe']",['Jean_Rousseau_(politician)']
917,whats an example name of a  role-playing video game,['Role-playing video game'],['Role-playing_video_game'],"['Role-playing_video_game', 'Action_role-playing_game', 'List_of_role-playing_video_games', 'History_of_Eastern_role-playing_video_games', 'Glossary_of_video_game_terms', 'Dungeon_crawl', 'Gaming_convention', 'List_of_tactical_role-playing_video_games:_2010_to_2019', 'Game_balance', 'Tales_(video_game_series)']",['Role-playing_video_game'],['Role-playing_video_game'],['Role-playing_video_game'],['Role-playing_video_game'],['Role-playing_video_game']
918,is total eclipse anthology a pop rock album or hip-hop album,['Total Eclipse Anthology'],['Total_Eclipse_Anthology'],"['Total_Eclipse_Anthology', 'Bitterblue_(song)']",['Total_Eclipse_Anthology'],['Total_Eclipse_Anthology'],['Total_Eclipse_Anthology'],['Total_Eclipse_Anthology'],"['Total_Eclipse_Anthology', 'Pop_rock', 'Hip_hop_music']"
919,what kind of music does bruce cockburn write,['Bruce Cockburn'],['Bruce_Cockburn'],"['Bruce_Cockburn', 'Bruce_Cockburn_(album)', 'Bruce_Cockburn_discography', 'World_of_Wonders_(album)', 'Stealing_Fire_(Bruce_Cockburn_album)', 'Bruce_Cockburn_(disambiguation)', 'Christmas_(Bruce_Cockburn_album)', 'Humans_(Bruce_Cockburn_album)', 'Night_Vision_(Bruce_Cockburn_album)', 'Jonathan_Goldsmith_(musician)']",['Bruce_Cockburn'],['Bruce_Cockburn'],['Bruce_Cockburn'],['Bruce_Cockburn'],['Bruce_Cockburn']
920,What is the sex of billy reynolds?,['Billy Reynolds (footballer)'],['Billy_Reynolds_(footballer)'],"['Georgia_Bulldogs_football', 'Billy_Reynolds_(footballer)', 'Billy_Reynolds_(American_football)', 'William_Reynolds_(footballer,_born_1879)', '1901_Georgia_Bulldogs_football_team', 'Mack_Reynolds_(American_football)', 'Sarah_Thomas_(American_football_official)', 'Garth_DeFelice', 'Bill_Snell']",['Billy_Reynolds_(footballer)'],['Billy_Reynolds_(footballer)'],"['Billy_Reynolds_(footballer)', 'Billy_Reynolds_(American_football)']","['Billy_Reynolds_(footballer)', 'Billy_Reynolds_(American_football)']",['Billy_Reynolds_(American_football)']
921,Where was karel appel born?,['Karel Appel'],['Karel_Appel'],"['Karel_Appel', 'Karl-Otto_Apel', 'Aphex_Twin', 'Momordica_charantia', ""List_of_Knight's_Cross_of_the_Iron_Cross_recipients_(A)"", 'Mary_Worth', 'Karl_von_Appen', 'Stedelijk_Museum_voor_Actuele_Kunst', 'Bengt_Lindström', 'Bert_Schierbeek']",['Karel_Appel'],['Karel_Appel'],['Karel_Appel'],['Karel_Appel'],['Karel_Appel']
922,who produced the movie the specialist,['The Specialist'],['The_Specialist'],"['Return_specialist', 'Specialist_(rank)', 'Hospital', 'Science_College', 'Nutritionist', 'Neurology', 'Technology_College', 'Generalist_and_specialist_species', 'Specialist_degree', 'Technology_Specialist']",['Return_specialist'],['Return_specialist'],['Return_specialist'],['Return_specialist'],[]
923,where in los angeles did  henry bergman die,['Henry Bergman'],['Henry_Bergman'],"['Henry_Bergman', 'Eric_Bergman', 'Henry_Bellamann', 'Henry_Beckman', 'Henry_Livingston_Jr.', 'Henry_Beekman_Livingston_(born_1854)', 'List_of_Djurgårdens_IF_Fotboll_players_(fewer_than_25_appearances)', 'Henry_Beekman', 'Henry_Beadman_Bryant', 'Belgian_horse']",['Henry_Bergman'],['Henry_Bergman'],['Henry_Bergman'],['Henry_Bergman'],"['Los_Angeles', 'Henry_Bergman']"
924,What is the location of jean de selys longchamps's death?,['Jean de Selys Longchamps'],['Jean_de_Selys_Longchamps'],['Jean_de_Selys_Longchamps'],['Jean_de_Selys_Longchamps'],['Jean_de_Selys_Longchamps'],['Jean_de_Selys_Longchamps'],['Jean_de_Selys_Longchamps'],['Jean_de_Selys_Longchamps']
925,"who designed chapel of the good shepherd, carlett park","['Chapel of the Good Shepherd, Carlett Park']","['Chapel_of_the_Good_Shepherd,_Carlett_Park']","['Chapel_of_the_Good_Shepherd,_Carlett_Park']","['Chapel_of_the_Good_Shepherd,_Carlett_Park']","['Chapel_of_the_Good_Shepherd,_Carlett_Park']","['Chapel_of_the_Good_Shepherd,_Carlett_Park']","['Chapel_of_the_Good_Shepherd,_Carlett_Park']","['Chapel', 'Good_Shepherd']"
926,where did percy sutton become deceased,['Percy Sutton'],['Percy_Sutton'],"['Percy_Sutton', 'Sweet_Valley_High', 'Erdington', 'Ian_Pearce', 'Elizabeth_Vassilieff', 'Percy_Thorpe', 'Birmingham_Metropolitan_College', 'Derrick_Downing', 'Maxine_Lewis', 'David_Williams_(geologist,_born_1898)']",['Percy_Sutton'],['Percy_Sutton'],['Percy_Sutton'],['Percy_Sutton'],['Percy_Sutton']
927,Name a film actor born in hawaii.,['Hawaii'],['Hawaii'],"['Hawaii', 'List_of_state_highways_in_Hawaii', 'Territory_of_Hawaii', 'Honolulu', 'University_of_Hawaii', 'University_of_Hawaii_at_Manoa', 'Hawaii_(island)', 'Hawaii_County,_Hawaii', 'Hilo,_Hawaii', 'Lihue,_Hawaii']",['Hawaii'],['Hawaii'],['Hawaii'],['Hawaii'],"['Actor', 'Hawaii']"
928,who is the story of circle of iron by,['Circle of Iron'],['Circle_of_Iron'],"['Circle_of_Iron', 'Stone_circle_(Iron_Age)', 'Iron_Front', 'The_Caucasian_Chalk_Circle', 'Iron_jaw_(circus)', 'Iron_Circus_Comics', 'Ulmus_glabra', 'Ion_Negoițescu', 'Haghani_Circle', 'Uncle_Slam']",['Circle_of_Iron'],['Circle_of_Iron'],['Circle_of_Iron'],['Circle_of_Iron'],"['Circle', 'Iron']"
929,What is a gameplay mode from the game gears of war,['Gears of War (video game)'],['Gears_of_War_(video_game)'],"['Gears_of_War_(video_game)', 'List_of_Guilty_Gear_characters', 'Gears_of_War', 'Cliff_Bleszinski', 'Kevin_Riepl', 'Dee_Bradley_Baker', 'The_Coalition_(company)', 'HeroClix', 'Karen_Traviss', 'Realtime_Associates']",['Gears_of_War_(video_game)'],['Gears_of_War_(video_game)'],['Gears_of_War_(video_game)'],['Gears_of_War_(video_game)'],[]
930,what movie did amit kumar write?,['Amit Kumar'],['Amit_Kumar'],"['Amit_Kumar', 'Amit_Kumar_Dahiya', 'Amit_Kumar_filmography', 'Amit_Kumar_Saroha', 'Amit_Kumar_(Indian_cricketer)', 'Amit_Kumar_(Bangladeshi_cricketer)', 'Gurgaon_kidney_scandal', 'Raj_Amit_Kumar', 'Amit_Kumar_Dhankar', 'Anil_Kumar_Das']",['Amit_Kumar'],['Amit_Kumar'],['Amit_Kumar'],['Amit_Kumar'],['Amit_Kumar']
931,Where was dominique dunne born?,['Dominique Dunne'],['Dominique_Dunne'],"['Dominique_Dunne', 'Dominick_Dunne', 'Ellen_Griffin_Dunne', 'The_Day_the_Loving_Stopped', 'The_Shadow_Riders_(film)', 'Carroll_Dickerson', 'Dunn_v._Ray']",['Dominique_Dunne'],['Dominique_Dunne'],['Dominique_Dunne'],['Dominique_Dunne'],['Dominique_Dunne']
932,Where was  lewis nott born,['Lewis Nott'],['Lewis_Nott'],"['Lewis_Nott', 'John_Lewis_&_Partners', 'The_Blue_Note_Reissue_Series:_Thad_Jones/Mel_Lewis', 'List_of_General_Hospital_characters', 'List_of_Neighbours_characters_(2011)', 'Noah_Lewis', 'News_International_phone_hacking_scandal', 'List_of_ministerial_by-elections_to_the_Parliament_of_the_United_Kingdom', 'List_of_recurring_The_Simpsons_characters', 'List_of_Wheel_of_Time_characters']",['Lewis_Nott'],['Lewis_Nott'],['Lewis_Nott'],['Lewis_Nott'],['Lewis_Nott']
933,who wrote the origins of totalitarianism,['The Origins of Totalitarianism'],['The_Origins_of_Totalitarianism'],"['The_Origins_of_Totalitarianism', 'Hannah_Arendt_Institute_for_Totalitarianism_Studies']",['The_Origins_of_Totalitarianism'],['The_Origins_of_Totalitarianism'],['The_Origins_of_Totalitarianism'],['The_Origins_of_Totalitarianism'],['Totalitarianism']
934,who directed cop out,['Cop Out (2010 film)'],['Cop_Out_(2010_film)'],"['Cop_Out_(2010_film)', 'Blade_Runner', 'Abbas_Kiarostami', 'Adam_Brody', 'Robert_Patrick', 'Ving_Rhames', 'Annabella_Sciorra', 'Fred_Armisen', 'Gordon_Chan', 'Kevin_Smith:_Too_Fat_for_40']",['Cop_Out_(2010_film)'],['Cop_Out_(2010_film)'],['Cop_Out_(2010_film)'],['Cop_Out_(2010_film)'],[]
935,where is drazen zecic from,['Drazen Zecic'],['Dražen_Zečić'],"['Dražen_Zečić', 'Dražen_Žerić', 'Forgotten_Realms']",['Dražen_Zečić'],['Dražen_Zečić'],['Dražen_Zečić'],['Dražen_Zečić'],[]
936,which artist is under the label nettwerk?,['Nettwerk'],['Nettwerk'],"['Nettwerk', 'ITV_(TV_network)', 'Seven_Network', 'Nine_Network', 'GMA_Network', 'Network_Rail', 'American_Broadcasting_Company', 'Cartoon_Network', 'DuMont_Television_Network', 'List_of_Nettwerk_Music_Group_label_artists']",['Nettwerk'],['Nettwerk'],['Nettwerk'],['Nettwerk'],['Nettwerk']
937,which actor was born in tel aviv,['Tel Aviv'],['Tel_Aviv'],"['Tel_Aviv', 'Maccabi_Tel_Aviv_F.C.', 'Hapoel_Tel_Aviv_F.C.', 'Bnei_Yehuda_Tel_Aviv_F.C.', 'Tel_Aviv_University', 'Maccabi_Tel_Aviv_B.C.', 'Hapoel_Tel_Aviv_B.C.', 'Beitar_Tel_Aviv_F.C.', 'Shimshon_Tel_Aviv_F.C.', 'ASA_Tel_Aviv_University']",['Tel_Aviv'],['Tel_Aviv'],"['Tel_Aviv', 'Tel_Aviv_University']","['Tel_Aviv', 'Tel_Aviv_University']","['Actor', 'Tel_Aviv']"
938,Where was charlie mccully born?,['Charlie McCully'],['Charlie_McCully'],"['Charlie_McCully', 'Police_of_The_Wire', 'List_of_River_City_characters', 'List_of_minor_planets:_4001–5000', 'List_of_minor_planets:_10001–11000', 'List_of_minor_planets:_28001–29000', 'Deadwood_(TV_series)', 'Tazers', 'List_of_minor_planets:_3001–4000', 'One_Night_Stand_(Keri_Hilson_song)']",['Charlie_McCully'],['Charlie_McCully'],['Charlie_McCully'],['Charlie_McCully'],['Charlie_McCully']
939,What is josh klein-davies's gender?,['Josh Klein-Davies'],['Josh_Klein-Davies'],"['Josh_Klein-Davies', 'List_of_minor_planet_discoverers']",['Josh_Klein-Davies'],['Josh_Klein-Davies'],['Josh_Klein-Davies'],['Josh_Klein-Davies'],"['Josh_Ashworth', 'Gender']"
940,who directed a mutt in a rut?,['A Mutt in a Rut'],['A_Mutt_in_a_Rut'],"['A_Mutt_in_a_Rut', 'Kill_Uncle', 'Rutgers_Scarlet_Knights', 'List_of_Casualty_characters', 'Point_guard', 'First_baseman', 'Third_baseman', 'Glossary_of_professional_wrestling_terms', 'GNU_General_Public_License', 'Bugs_(TV_series)']",['A_Mutt_in_a_Rut'],['A_Mutt_in_a_Rut'],['A_Mutt_in_a_Rut'],['A_Mutt_in_a_Rut'],['Rut_(mammalian_reproduction)']
941,where did boethius die,['Boethius'],['Boethius'],"['Boethius', 'Boethius_(disambiguation)', 'Boetius_of_Dacia', 'The_Old_English_Boethius', 'Manlius_Boethius', 'Boethius_(Mercurian_crater)', 'Boethius_(lunar_crater)', 'Boëthius_family', 'Hector_Boece', 'Axel_Boëthius']",['Boethius'],['Boethius'],['Boethius'],['Boethius'],['Boethius']
942,What is the name of a film that dimitri tiomkin was the music contributor for,['Dimitri Tiomkin'],['Dimitri_Tiomkin'],"['Dimitri_Tiomkin', 'The_Ballad_of_High_Noon', 'Wild_Is_the_Wind_(song)', 'Town_Without_Pity_(song)', 'Rawhide_(song)', 'Circus_World_(film)', 'Friendly_Persuasion_(song)', 'The_Green_Leaves_of_Summer', 'Gregor_Dorfmeister', 'The_High_and_the_Mighty_(1954_song)']",['Dimitri_Tiomkin'],['Dimitri_Tiomkin'],['Dimitri_Tiomkin'],['Dimitri_Tiomkin'],['Dimitri_Tiomkin']
943,what language is used in the film  the proposition,['The Proposition (1998 film)'],['The_Proposition_(1998_film)'],"['The_Proposition_(1998_film)', 'Benoît_Delhomme', 'Guy_Pearce', 'Jon_Gregory_(editor)', 'Ballot_Measure_9', 'The_Nostril_Picker', 'Rubén_Carbajal', 'Billie_JD_Porter', 'Anahi_Hormazabal']",['The_Proposition_(1998_film)'],['The_Proposition_(1998_film)'],['The_Proposition_(1998_film)'],['The_Proposition_(1998_film)'],"['Language', 'Proposition']"
944,What is the gender of craig m. johnson,['Craig M. Johnson'],['Craig_M._Johnson'],"['Craig_M._Johnson', 'Mindless_Behavior', 'Power_Rangers_Lightspeed_Rescue', 'List_of_Family_Affairs_characters', 'Family_Coalition_Party_of_Ontario_candidates_in_the_2003_Ontario_provincial_election', 'Green_Party_of_Canada_candidates_in_the_2008_Canadian_federal_election', 'List_of_West_Coast_Eagles_players', 'List_of_minor_planets:_5001–6000', 'Jed_Allan', 'Matt_Sloan_(voice_actor)']",['Craig_M._Johnson'],['Craig_M._Johnson'],['Craig_M._Johnson'],['Craig_M._Johnson'],['Gender']
945,who died from pneumonia,['Pneumonia'],['Pneumonia'],"['Pneumonia', 'Pneumocystis_pneumonia', 'Cryptogenic_organizing_pneumonia', 'Eosinophilic_pneumonia', 'Atypical_pneumonia', 'Lipid_pneumonia', 'List_of_pneumonia_deaths', 'Aspiration_pneumonia', 'Ventilator-associated_pneumonia', 'Classification_of_pneumonia']",['Pneumonia'],['Pneumonia'],['Pneumonia'],['Pneumonia'],['Pneumonia']
946,What soccer position does tsukasa hosaka play?,['Tsukasa Hosaka'],['Tsukasa_Hosaka'],"['List_of_Lucky_Star_characters', 'Tsukasa_Hosaka']",['Tsukasa_Hosaka'],['Tsukasa_Hosaka'],['Tsukasa_Hosaka'],['Tsukasa_Hosaka'],"['Association_football', 'Tsukasa_Hosaka']"
947,Where was masato harada birthed,['Masato Harada'],['Masato_Harada'],"['Masato_Harada', 'Masao_Harada', 'Masatoshi_Hamada', 'Gunhed_(film)', 'Bounce_Ko_Gals', ""Climber's_High"", 'Kakekomi', 'Chronicle_of_My_Mother', 'Spellbound_(1999_film)', 'Densen_Uta']",['Masato_Harada'],['Masato_Harada'],['Masato_Harada'],['Masato_Harada'],['Masato_Harada']
