,question,entities,MuHeQA_FLERT
1048,which artist performs carnatic music?,['Carnatic music'],"['artist', 'carnatic music']"
1049,where was kseniya rappoport given birth,['Kseniya Rappoport'],['kseniya']
1050,what is the gender of sean dundee,['Sean Dundee'],['sean dundee']
1051,what sex is thomas day,['Thomas Day'],['thomas day']
1052,where did pat roach die,['Pat Roach'],['pat roach']
1053,what city is in geneva county,['Geneva County'],['geneva county']
1054,john b. calhoun is a citizen of what country?,['John B. Calhoun'],['john b. calhoun']
1055,where was barbara mularczyk born,['Barbara Mularczyk'],['barbara mularczyk']
1056,how would a person classify moscow on the hudson,['Moscow on the Hudson'],['moscow']
1057,What is joe kracher's gender?,['Joe Kracher'],['joe kracher']
1058,Who is a child of george gilbert scott,['George Gilbert Scott'],['george gilbert scott']
1059,who produced halloween resurrection,['Halloween: Resurrection'],['halloween resurrection']
1060,what is country did fanni gyarmati originate from,['Fanni Gyarmati'],['fanni gyarmati']
1061,What country does morten rasmussen have nationality in,['Morten Rasmussen'],['morten rasmussen']
1062,what genre is the artist carl weingarten,['Carl Weingarten'],['artist carl weingarten']
1063,audrey williams performs which genre of music?,['Audrey Williams'],['audrey williams']
1064,What is the name of an album that is apart of j-pop genre?,['J-pop'],"['album', 'j-pop genre']"
1065,which language is spoken in temmink: the ultimate fight,['Temmink: The Ultimate Fight'],"['language', 'temmink', 'ultimate fight']"
1066,what kind of film genre is the movie  der 20. juli,['The Plot to Assassinate Hitler'],"['film genre', 'movie der 20. juli']"
1067,what administrative divisions are in italy?,['Italy'],['italy']
1068,what's the central tenant of the pashtoons social democratic party,['Pashtoons Social Democratic Party'],['pashtoons social democratic party']
1069,"WHat genre of music have trumpet, will excite!","['Have Trumpet, Will Excite!']","['music', 'trumpet']"
1070,What body of water des the csx a-line bridge cross,['CSX A-Line Bridge'],"['water', 'csx a-line bridge cross']"
1071,Who is an individual born in katerini?,['Katerini'],"['individual', 'katerini']"
1072,What type of music is featured on trans canada highway,['Trans Canada Highway'],"['music', 'trans canada highway']"
1073,What is the name of Spongebob's game,['action game'],['Spongebob']
1074,what is a game that features multiplayer ,['multiplayer video game'],"['game', 'multiplayer']"
1075,where was luan garcia teixeira born?,['Luan Garcia Teixeira'],['luan garcia teixeira']
1076,who is the record label for the orb?,['The Orb'],['orb']
1077,what is porochista khakpour's place of birth?,['Porochista Khakpour'],['porochista khakpour']
1078,what film is produced by til schweiger?,['Til Schweiger'],['til schweiger']
1079,what is an organization founded by maulana masood azhar,['Masood Azhar'],['maulana masood azhar']
1080,which 1939 movie was directed by john brahm,['John Brahm'],['john brahm']
1081,what kind of music does amina figarova prepare ,['Amina Figarova'],['amina figarova']
1082,What is andrew ellis's gender?,['Andrew Ellis'],['andrew ellis']
1083,who is someone famous with attention deficit hyperactivity disorder,['Dracula: Dead and Loving It'],['attention deficit hyperactivity disorder']
1084,which country is john campbell from,['John Campbell'],['john campbell']
1085,which album was done by the artist lit ,['Lit'],"['album', 'artist']"
1086,what language is 60 minutes sports spoken in?,['60 Minutes Sports'],"['language', '60 minutes sports']"
1087,Which artist created lynyrd skynyrd: solo flytes,['Solo Flytes'],"['artist', 'lynyrd skynyrd', 'solo flytes']"
1088,what west coast city was bolt birch born in,['Bolt Birch'],"['west coast city', 'bolt birch']"
1089,who composed violin sonata no. 8 ,['Violin Sonata No. 8'],"['violin sonata', '8']"
1090,Who developed elevator action returns,['Elevator Action Returns'],['elevator action']
1091,where did hermann von mallinckrodt pass away,['Hermann von Mallinckrodt'],['hermann von mallinckrodt']
1092,what netflix genre is a tale of two sisters?,['A Tale of Two Sisters'],"['netflix genre', 'two sisters']"
1093,who is the parent of drogo of champagne?,['Drogo of Champagne'],['champagne']
1094,name a gothic rock album,['gothic rock'],['gothic rock album']
1095,Is bruce ricker a male or female,['Bruce Ricker'],['bruce ricker']
1096,Where is leigh anne tuohy from?,['Leigh Anne Tuohy'],['leigh anne tuohy']
1097,is xiao shan going home from china or hong kong,['Xiao Shan Going Home'],"['xiao shan', 'china or hong kong']"
1098,Where is robert gadocha from,['Robert Gadocha'],['robert gadocha']
1099,What country is paul a. winn from,['Paul A. Winn'],['paul a.']
1100,what sort of film is our daily bread,['Our Daily Bread'],"['film', 'daily bread']"
1101,who is the musician that created from genesis to revelation,['From Genesis to Revelation'],"['musician', 'revelation']"
1102,What label does ronnie foster record with?,['Ronnie Foster'],['ronnie']
1103,which country is gracie allen from,['Gracie Allen'],['country']
1104,where was benedetto gennari ii born ,['Benedetto Gennari II'],['benedetto gennari ii']
1105,what gender is vagif mustafazade,['Vagif Mustafazadeh'],['vagif mustafazade']
1106,Is timothy fok a male or female,['Timothy Fok'],['timothy fok']
1107,which New York city did william morgan shuster in,['William Morgan Shuster'],"['william morgan shuster', 'New York city']"
1108,Is the sex of tom flores female or male?,['Tom Flores'],['tom flores female or male']
1109,what netflix genre is bobby under ,['Bobby'],['netflix genre']
1110,Where was max graham's place of birth?,['Max Graham'],['max graham']
1111,What gender does betty luster identify as?,['Betty Luster'],"['gender', 'betty luster']"
1112,what is the position that john ake plays,['John Ake'],['john ake']
1113,what is the name of a popular Germany-based Iranian pop music singer,['pop music'],"['Iranian', 'Germany-based']"
1114,which asteroid belt orbits the sun,['Sun'],"['asteroid belt', 'sun']"
1115,what artist plays a guitar,['guitar'],"['artist', 'guitar']"
1116,what is a drama film,['drama film'],['drama film']
1117,which city was johann von vásáry born,['János Vaszary'],['johann von vásáry']
1118,what is the profession of maja ostaszewska?,['Maja Ostaszewska'],['maja ostaszewska']
1119,What is jean jacques clark parent's nationality,['Jean Jacques Clark Parent'],['jean jacques clark parent']
1120,is raffaele di mario male or female,['Raffaele Di Mario'],['raffaele di mario']
1121,what movie did william gillette do the film story credits for ,['William Gillette'],['william gillette']
1122,what country is kyle drabek from,['Kyle Drabek'],['kyle drabek']
1123,What country filmed yellow,['Yellow'],['country']
1124,What country created the film panic,['Panic'],"['country', 'film panic']"
1125,who is the album home invasion by?,['Home Invasion'],[]
1126,Where in the united states was roderick wetherill born,['Roderick Wetherill'],"['united states', 'roderick wetherill']"
1127,What genre does the album greatest kiss belong to,['Greatest Kiss'],"['genre', 'album', 'kiss']"
1128,What is the nationality of claudia lonow?,['Claudia Lonow'],['claudia lonow']
1129,which actor was born in munich,['Munich'],['munich']
1130,Which man has the occupation of being a film producer?,['film producer'],"['man', 'film producer']"
1131,Who is the author of the honourable schoolboy?,['The Honourable Schoolboy'],['honourable schoolboy']
1132,Where was daniel hiester's place of birth?,['Daniel Hiester'],['daniel hiester']
1133,what language is fanny in?,['Fanny'],['language']
1134,which city was georg albert lücke born,['Georg Albert Lücke'],['georg albert lücke']
1135,what does 2176 donar orbit around?,['2176 Donar'],['2176 donar orbit']
1136,What is the gender of zaira zambelli,['Zaira Zambelli'],['zaira zambelli']
1137,who is an Israel football player plays forward,['forward'],['Israel']
1138,Which place was pehr-olof sirén born in,['Pehr-Olof Sirén'],['pehr-olof sirén']
1139,"What is the sex of humphrey stafford, earl of stafford?","['Humphrey Stafford, Earl of Stafford']","['humphrey stafford', 'stafford']"
1140,what are some single-player video games,['single-player video game'],['single-player video games']
1141,What's a movie that credits axel hellstenius as a writer,['Axel Hellstenius'],['axel hellstenius']
1142,What is frank ortenzio's job,['Frank Ortenzio'],['frank ortenzio']
1143,what kind of music does nico constantine sing,['Nico Constantine'],['nico constantine']
1144,is 7075 sadovnichij a comet or an asteroid,['7075 Sadovnichij'],"['7075 sadovnichij', 'comet or', 'asteroid']"
1145,What kind of condition did sterling holloway die from?,['Sterling Holloway'],"['condition', 'sterling holloway']"
1146,what female artist is on the matador records label,['Matador Records'],['matador records label']
1147,name a female character,['female'],['female character']
1148,what gameplay mode is the videogame beatmania iidx 8th style,['Beatmania IIDX 8th Style'],['videogame beatmania iidx 8th style']
1149,where is nathan apea aferi from,['Nathan Apea Aferi'],['nathan apea aferi']
1150,which country is kelly macdonald from,['Kelly Macdonald'],['kelly macdonald']
1151,how did roy roberts die,['Roy Roberts'],['roy roberts']
1152,Who is the parent of alix of france?,['Alice of France'],['alix of france']
1153,Who plays the violin?,['violin'],['violin']
1154,where was charles koppelman born in,['Charles Koppelman'],['charles koppelman']
1155,what is 6520 sugawa ,['6520 Sugawa'],['6520 sugawa']
1156,which instrument was played by steve earle,['Steve Earle'],['steve earle']
1157,in which armed conflict did roderick mcgregor participate,['Roderick McGregor'],['roderick mcgregor']
1158,where was jorge arce born?,['Jorge Arce'],['jorge arce']
1159,Where is mick galloway's place of birth,['Mick Galloway'],['mick galloway']
1160,what film did rainer werner fassbinder edit,['Rainer Werner Fassbinder'],['rainer werner fassbinder']
1161,who is the cinematographer of the shawshank redemption,['The Shawshank Redemption'],['shawshank redemption']
1162,Which type of celestial object is 3916 maeva,['3916 Maeva'],"['celestial object', '3916 maeva']"
1163,what is football position of bruno lança andrade,['Bruno Lança Andrade'],['bruno lança andrade']
1164,who was raman named after,['Raman'],['raman']
1165,What genre of music is takayo ookoshi associated iwth,['Takayo Ōkoshi'],"['music', 'takayo ookoshi']"
1166,Name a painter,['painter'],['painter']
1167,who directed autograph,['Autograph'],['autograph']
1168,where is valter palm's place of death,['Valter Palm'],['valter palm']
1169,what is a game published by sega,['Sega'],['sega']
1170,Who wrote the musical score for sssshhh...,['Sssshhh...'],[]
1171,which language does merry-go-round play in,['Merry-Go-Round'],['language']
1172,name a politician.,['politician'],['politician']
1173,what genre of music is cluster 71 considered,['Cluster'],"['music', 'cluster 71']"
1174,What company was named after nikola tesla?,['Nikola Tesla'],['nikola tesla']
1175,who is a starting pitcher for the atlanta braves?,['starting pitcher'],['atlanta braves']
1176,What is named after michael collins (astronaut)?,['Michael Collins'],['michael collins']
1177,which hungarian footballer was born in nyíregyháza,['Nyíregyháza'],"['nyíregyháza', 'hungarian footballer']"
1178,what language is spoken throughout the movie 14 women,['14 Women'],"['language', 'movie 14 women']"
1179,What is the name of a famous English screenwriter?,['screenwriter'],['English']
1180,what is geoff byrd's country of nationality?,['Geoff Byrd'],['geoff byrd']
1181,What country is bartłomiej chwalibogowski from,['Bartłomiej Chwalibogowski'],['bartłomiej chwalibogowski']
1182,which country is idlib located in,['Idlib'],['idlib']
1183,which football player was involved in the korean war?,['Korean War'],['korean war']
1184,who is a military leader born in cannobio,['Cannobio'],"['military leader', 'cannobio']"
1185,what is the name of a goalkeeper in soccer,['goalkeeper'],['soccer']
1186,Where is a. t. mann from?,['A. T. Mann'],[]
1187,The brothers in arms: double time was a part of what game series,['Brothers in Arms: Double Time'],"['arms', 'double time', 'game series']"
1188,Where was bob kane buried?,['Bob Kane'],['bob kane']
1189,what is  hd 8673,['HD 8673'],['8673']
1190,What is the name of a film directed by fred paul,['Fred Paul'],['fred paul']
1191,Which city was raymond tarabay born in,['Raymond Tarabay'],['raymond tarabay']
1192,what film did richard curtis write?,['Richard Curtis'],['richard curtis']
1193,What nationality is juliette haigh?,['Juliette Haigh'],['juliette haigh']
1194,which city did kim hunter pass away,['Kim Hunter'],['kim hunter']
1195,what type of music does marilyn rovell perform,['Marilyn Wilson'],['marilyn rovell']
1196,what kind of book is ragtime?,['Ragtime'],['book']
1197,Which nation is ralph metzner from?,['Ralph Metzner'],['ralph metzner']
1198,who plays the guitar,['guitar'],['guitar']
1199,What position does joe werrick play?,['Joe Werrick'],['joe werrick']
1200,Who is the artist of the album a split of nightmares?,['A Split of Nightmares'],"['album', 'nightmares']"
1201,What science fiction movie did warner bros. make?,['Warner Bros.'],['warner bros']
1202,What country is kitín muñoz from?,['Kitín Muñoz'],['kitín muñoz']
1203,what notable athlete was born in curitiba?,['Curitiba'],['curitiba']
1204,which nation state is george roussos from,['George Roussos'],['george roussos']
1205,what is loránd eötvöss place of death,['Loránd Eötvös'],['loránd eötvöss']
1206,What is the birth place of horace ivory?,['Horace Ivory'],['horace ivory']
1207,what kind of album is while we're young,"[""While We're Young""]",['album']
1208,where did harriet hemings die ,['Harriet Hemings'],['harriet hemings']
1209,Name a singer,['singer'],['singer']
1210,where was victor hugo halperin born?,['Victor Hugo Halperin'],['victor hugo halperin']
1211,What is the gender of ingo steuer,['Ingo Steuer'],['ingo steuer']
1212,where is philip voss born,['Philip Voss'],['philip voss']
1213,What is a classification of genus?,['Genus'],['genus']
1214,which country was micawber filmed in,['Micawber'],"['country', 'micawber']"
1215,what is an instrument that rory block knows how to play?,['Rory Block'],['rory block']
1216,what nationality is asif ali malik,['Asif Ali Malik'],['asif ali malik']
1217,where did timothy bloodworth die ,['Timothy Bloodworth'],['timothy bloodworth']
1218,which country is t. j. cunningham from ,['T. J. Cunningham'],['t. j. cunningham']
1219,who was born in manchester?,['Manchester'],['manchester']
1220,what is tyrant flycatcher classified as,['tyrant flycatcher'],['tyrant flycatcher']
1221,what country has battle of zumail,['Battle of Zumail'],['zumail']
1222,what label represents art of dying,['Art of Dying'],['label']
1223,Name a person born in queens,['Queens'],"['person', 'queens']"
1224,which position did mark quayle mostly play during his career,['Mark Quayle'],['mark quayle']
1225,who wrote taking steps,['Taking Steps'],['steps']
1226,what country is salon mexico from?,['Salón México'],['mexico']
1227,who directed the film calypso cat,['Calypso Cat'],['film calypso cat']
1228,what language is used in amnesia,['AmnesiA'],"['language', 'amnesia']"
1229,what position does football player tomáš necid play,['Tomáš Necid'],['tomáš necid']
1230,Name an english writer who created the Sodam Yat fictional character,['Sodam Yat'],"['Sodam Yat', 'english writer']"
1231,What is Emily Kwan's gender?,['Emily Kwan'],['Emily Kwan']
1232,what is masud sabri's gender?,['Masud Sabri'],['masud sabri']
1233,where was ed bouchee born?,['Ed Bouchee'],['ed bouchee']
1234,who is the artist of battle hymns mmxi,['Battle Hymns MMXI'],['battle hymns mmxi']
1235,what californian city was  michael j. mcculley born,['Michael J. McCulley'],['michael j. mcculley']
1236,Who wrote the film postcards from the edge?,['Postcards from the Edge'],['edge']
1237,what are the names of russian basketball players?,['basketball player'],['russian basketball players']
1238,what country was have you got any castles? filmed in,['Have You Got Any Castles?'],"['country', 'castles']"
1239,where in norway was steffen nystrøm's place of birth?,['Steffen Nystrøm'],"['steffen nystrøm', 'norway']"
1240,what is 11017 billputnam a part of?,['11017 Billputnam'],['11017 billputnam']
1241,what language was used in the tv program tom & jerry kids,['Tom and Jerry Kids Show'],['tv program tom & jerry kids']
1242,What kind of music does tim vanhamel perform?,['Tim Vanhamel'],['tim vanhamel']
1243,what health problem killed navin nischol,['Navin Nischol'],['navin nischol']
1244,what is the categorical name of 4170 semmelweis,['4170 Semmelweis'],['4170 semmelweis']
1245,Where did giulio bosetti die,['Giulio Bosetti'],['giulio bosetti']
1246,What is the name of the director of the film  Ma vie en rose?,['film director'],['Ma vie en rose']
1247,Which country does elizabeth larner have nationality in,['Elizabeth Larner'],['elizabeth larner']
1248,what book is written by agatha christie?,['Agatha Christie'],['agatha christie']
1249,What is the name of the county that north deland is located in?,['North DeLand'],['north deland']
1250,what country made the film heimat 3: a chronicle of beginnings and endings,['Heimat 3 – Chronik einer Zeitenwende'],['film heimat 3']
1251,arunpong chaiwinit is popular for what kind of music,['Pongsatorn Supinyo'],['arunpong chaiwinit']
1252,who discovered (6872) 1993 cn1,['(6872) 1993 CN1'],"['6872', '1993 cn1']"
1253,who is the artist for live wood,['Live Wood'],['live wood']
1254,which country is terry carter from,['Terry Carter'],['country']
1255,in what language is the tv show jot,['JOT'],"['language', 'tv show jot']"
1256,which man was born in radstadt?,['Radstadt'],['radstadt']
1257,What is the sex of james brooks (whig)?,['James Brooks'],['james brooks']
1258,what instrument does catherine delaunay know how to play?,['Catherine Delaunay'],['catherine delaunay']
1259,What genre in the neck and neck album,['Neck and Neck'],['neck and neck album']
1260,what type of movie is the canadian?,['The Canadian'],['movie']
1261,who's album is faye wong,['Faye Wong'],['faye wong']
1262,where was richard chenevix trench born,['Richard Chenevix Trench'],['richard chenevix trench']
1263,which nation is main prem ki diwani hoon filmed at?,['Main Prem Ki Diwani Hoon'],"['nation', 'main prem hoon']"
1264,What is the name of the publisher for the video game Soldier Blade?,['Soldier Blade'],['Soldier Blade']
1265,Name an administrative division in Slovenia. ,['Slovenia'],['Slovenia']
1266,in what language was hamara bajaj spoken,['Hamara Bajaj'],['hamara bajaj']
1267,Where was saitō yoshitatsu born?,['Saitō Yoshitatsu'],['saitō yoshitatsu']
1268,what movie did arnon milchan produce,['Arnon Milchan'],['arnon milchan']
1269,what is one of the municipalities located in brazil,['Brazil'],['brazil']
1270,Which company developed onimusha 2,"[""Onimusha 2: Samurai's Destiny""]",['onimusha 2']
1271,What film did regina ziegler produce?,['Regina Ziegler'],['regina ziegler']
1272,where was the birthplace of eckhard naumann,['Eckhard Naumann'],['eckhard naumann']
1273,from which european country is drummond money-coutts from,['Drummond Money-Coutts'],['european country']
1274,what position does  billy briscoe play,['Billy Briscoe'],['billy briscoe']
1275,what is the name of a alternative rock by blue october,['alternative rock'],['blue october']
1276,What is the birthplace of nicholas hormann?,['Nicholas Hormann'],['nicholas hormann']
1277,Who was the author of the punisher?,['The Punisher'],['punisher']
1278,which genre is dolly: the seeker/we used to affiliated with,['Dolly'],"['genre', 'dolly seeker']"
1279,who is the author of star trek,['Star Trek'],['star trek']
1280,Where was hanad zakaria warsame when they died,['Hanad Zakaria Warsame'],['hanad zakaria warsame']
1281,who is a football player that plays defender?,['defender'],"['football player', 'defender']"
1282,what gender does gabriel spera identity as?,['Gabriel Spera'],['gabriel spera']
1283,who created the music for the film raw! raw! rooster!,['Raw! Raw! Rooster!'],"['film raw', 'raw rooster']"
1284,who wrote the screenplay for alfie ,['Alfie'],['alfie']
1285,Which country was elzbieta jodlowska from,['Elżbieta Jodłowska'],['elzbieta jodlowska']
1286,which country does federation of bosnia and herzegovina belong to,['Federation of Bosnia and Herzegovina'],['bosnia and herzegovina']
1287,in what country was american mullet filmed,['American Mullet'],"['country', 'american mullet']"
1288,what country created the film  prema kavali,['Prema Kavali'],['prema kavali']
1289,does pee wee reese play shortstop or power forward,['Pee Wee Reese'],['pee wee reese']
1290,Cab Number 13 is a film in what language?,['Cab Number 13'],['Cab Number 13']
1291,who wrote the album sugar and spice,['Sugar and Spice'],['album sugar and spice']
1292,In which Texas city lee nguyen was born in?,['Lee Nguyen'],"['Texas', 'texas city lee nguyen']"
1293,which film is rakesh roshan credited as a producer?,['Rakesh Roshan'],['rakesh roshan']
1294,Which organization was john bosco a founder for?,['John Bosco'],['john bosco']
1295,What is the classification rank of terminalia arjuna,['Terminalia arjuna'],['terminalia arjuna']
1296,Which country does rich caster have nationality in,['Rich Caster'],"['country', 'rich caster']"
1297,"eli cohen, the Israeli spy, was born in what city",['Eli Cohen'],"['eli cohen', 'Israeli']"
1298,is dave hause from the untied states or canada,['Dave Hause'],"['dave', 'untied states or canada']"
1299,who was born in chicago,['Chicago'],['chicago']
1300,Who is the name of a defender,['defender'],['defender']
1301,what time zone is the alaska township located in,['Alaska Township'],['alaska township']
1302,What european country is jan boeckhorst from?,['Jan Boeckhorst'],"['european country', 'jan boeckhorst']"
1303,what is a film that falls under the romantic comedy genre?,['romantic comedy'],"['film', 'romantic comedy genre']"
1304,what footballers were born in monrovia,['Monrovia'],['monrovia']
1305,Name an album from the thrash metal genre.,['thrash metal'],['thrash metal genre']
1306,who was born in south paris?,['South Paris'],['south paris']
1307,what is the name of the bridge that crosses the patuxent river,['Patuxent River'],['patuxent river']
1308,What's a game that's part of the burnout series,['Burnout'],"['game', 'burnout series']"
1309,what film did george lucas direct?,['George Lucas'],['george lucas']
1310,What position in baseball does calvin maduro play?,['Calvin Maduro'],['calvin maduro']
1311,Which star does 2594 acamas orbit,['2594 Acamas'],"['star', '2594 acamas orbit']"
1312,In what language is the dialogue from the film Four Nights of a Dreamer?,['Four Nights of a Dreamer'],['Four Nights of a Dreamer']
1313,What is an album by regina belle?,['Regina Belle'],['regina belle']
1314,In which country was The Last Shot You Hear filmed?,['The Last Shot You Hear'],['The Last Shot You Hear']
1315,what is nesmith ankeny's gender,['Nesmith Ankeny'],['nesmith ankeny']
1316,What celestial object is (29219) 1992 bj?,['(29219) 1992 BJ'],"['celestial object', '29219', '1992 bj']"
1317,what country is the film lassie based in?,['Lassie'],['film lassie']
1318,WHo was born in carthage,['Carthage'],['carthage']
1319,what film is directed by michel ocelot?,['Michel Ocelot'],['michel ocelot']
1320,where was mahmoud abbas born,['Mahmoud Abbas'],['mahmoud abbas']
1321,what kind of book is mcteague,['McTeague'],['mcteague']
1322,Which city was alberto isola born in,['Alberto Ísola'],['alberto isola']
1323,what is a language spoken in swift and shift couriers,['Swift and Shift Couriers'],"['language', 'swift and shift couriers']"
1324,who produced the film the scarlet lady,['The Scarlet Lady'],['scarlet lady']
1325,which former football player was born in sioux falls,['Sioux Falls'],['sioux falls']
1326,what is an alternative rock album?,['alternative rock'],['alternative rock album']
1327,Who is the artist of the album salute?,['Salute'],['album salute']
1328,what is the rank of the organism classification phainopepla,['Phainopepla nitens'],['organism classification phainopepla']
1329,what gender is dmitriy mamin-sibiryak,['Dmitry Mamin-Sibiryak'],['dmitriy mamin-sibiryak']
1330,"what war was william birdwood, 1st baron birdwood involved in?","['William Birdwood, 1st Baron Birdwood']","['1st baron birdwood', 'william birdwood']"
1331,what time zone is used in liget,['Liget'],"['time zone', 'liget']"
1332,What is the name of a film adaptation of the book goldfinger,['Goldfinger'],['book goldfinger']
1333,who is a football defender,['defender'],['football defender']
1334,whats jacob lekgetho's biological gender,['Jacob Lekgetho'],['jacob lekgetho']
1335,Where was Roy Worters born?,['Roy Worters'],['Roy Worters']
1336,What is the next book in the sabriel series?,['Sabriel'],['sabriel series']
1337,What is joycelyn elders's gender?,['Joycelyn Elders'],"['joycelyn elders', 'gender']"
1338,who is a female character from Neighbours?,['female'],['Neighbours']
1339,Who published the game freekstyle,['Freekstyle'],['game freekstyle']
1340,what film was umberto lenzi the director of,['Umberto Lenzi'],['umberto lenzi']
1341,what instrument is played by gavin rossdale,['Gavin Rossdale'],['gavin rossdale']
1342,what is a grand theft auto cdv published by rockstar games,['Rockstar Games'],['rockstar games']
1343,Name a county in united states,['United States of America'],['united states']
1344,Where was dead man's trail released?,"[""Dead Man's Trail""]","['dead man', 'trail']"
1345,What time zone is irwindale in?,['Irwindale'],['time zone']
1346,What profession does josé abad santos have?,['José Abad Santos'],['josé abad santos']
1347,kan ishii was a composer for which film?,['Kan Ishii'],['kan ishii']
1348,who is the artist that recorded willie – before his time,['Willie – Before His Time'],['willie']
1349,who wrote the episode hell on earth 2006,['Hell on Earth 2006'],['earth 2006']
1350,where does the minnesota wild play,['Minnesota Wild'],['minnesota wild play']
1351,what is the time zone of pinesdale?,['Pinesdale'],['pinesdale']
1352,where in england was peterwolfe born in?,['Peter Wolfe'],"['england', 'peterwolfe']"
1353,Where was ghiselin danckerts's place of birth?,['Ghiselin Danckerts'],['ghiselin danckerts']
1354,name a professional writer.,['writer'],['professional writer']
1355,which location is the administrative child of mendoza province,['Mendoza'],['mendoza province']
1356,where did karel teige die?,['Karel Teige'],['karel teige']
1357,who did the music for duel of the titans,['Romolo e Remo'],['titans']
1358,what type of music is i against i?,['I Against I'],['music']
1359,WHere was steven adams born,['Steven Adams'],['steven adams']
1360,Who was 5698 nolde named after?,['5698 Nolde'],['5698 nolde']
1361,where did the battle of morat take place,['Battle of Morat'],"['morat', 'place']"
1362,is nancy mckenzie male or female,['Nancy McKenzie'],['nancy mckenzie male or female']
1363,which country released working girl,['Working Girl'],"['country', 'girl']"
1364,Who's a defender from german,['defender'],['german']
1365,in what country was alger la blanche filmed,['-'],['alger la blanche']
1366,what political party's political ideology is radicalism,['radicalism'],"['political party', 'political ideology', 'radicalism']"
1367,which city was grubson born,['GrubSon'],['grubson']
1368,What country does the film the black hole take place?,['The Black Hole'],['the black hole']
1369,What is benny frey's profession?,['Benny Frey'],['benny frey']
1370,Where was lust for vengeance released?,['Lust for Vengeance'],['vengeance']
1371,what genre is all the real girls classified as ,['All the Real Girls'],"['genre', 'real girls']"
1372,what nationality does  shohei tsukahara belong to,['Shōhei Tsukahara'],['shohei tsukahara']
1373,what is frank loverde's sex,['Frank Loverde'],['frank loverde']
1374,Who's a musician that plays soul music,['soul music'],"['musician', 'soul music']"
1375,Where did william james beal die?,['William James Beal'],['william james beal']
1376,which country is philip stanton from,['Philip Stanton'],['philip stanton']
1377,what country is the film desperate but not serious from,['Desperate But Not Serious'],"['country', 'film desperate but']"
1378,What gender is carey mcwilliams?,['Carey McWilliams'],['carey mcwilliams']
1379,Who directed the tv series milagro,['Milagro'],['tv series milagro']
1380,What gender is Sholom Schwartzbard?,['Sholem Schwarzbard'],['Sholom Schwartzbard']
1381,Which language is the film ice twisters in?,['Ice Twisters'],['language']
1382,who created fantastic man,['Fantastic Man'],['fantastic man']
1383,What is the name of an important Greek music composer?,['composer'],['Greek']
1384,What is the country of origin of impact: stories of survival?,['Impact: Stories of Survival'],"['impact', 'survival']"
1385,What artist makes rock music,['rock music'],"['artist', 'rock music']"
1386,where is målkjær born?,['Preben Elkjær'],['målkjær']
1387,What film did alfred uhry contribute to?,['Alfred Uhry'],['alfred uhry']
1388,which artist released hangin around the observatory?,"[""Hangin' Around the Observatory""]","['artist', 'observatory']"
1389,Which city was sean mcnamara born,['Sean McNamara'],['sean mcnamara']
1390,Who is an artist in the rock music genre?,['rock music'],['rock music genre']
1391,What country is the grand lake (colorado) located within,['Grand Lake'],['colorado']
1392,What country was the film the horror vault: part 1 produced in,['The Horror Vault'],['the horror vault : part']
1393,Who published genesis rising: the universal crusade,['Genesis Rising: The Universal Crusade'],['genesis rising']
1394,who was born in templemore?,['Templemore'],['templemore']
1395,What is betty arvaniti's place of origin?,['Betty Arvaniti'],['betty arvaniti']
1396,what position does dan shannon play in baseball?,['Dan Shannon'],['dan shannon']
1397,which artist made the album resonator (2002-2003) ,['Resonator'],"['artist', 'album resonator', '2002-2003']"
1398,which island is a part of ecuador  ,['Ecuador'],['ecuador']
1399,Who directed happy times,['Happy Times'],['happy times']
1400,What is ludwig scotty's gender?,['Ludwig Scotty'],['ludwig scotty']
1401,what kind of album is the black angel,['The Black Angel'],['black angel']
1402,What album was produced by kaci brown,['Kaci Brown'],['kaci brown']
1403,what does shane youman do in baseball,['Shane Youman'],['shane youman']
1404,What film did john williams contribute music towards,['John Williams'],['john williams']
1405,what is the name of a platform game found on the nintendo DS,['platform game'],['nintendo DS']
1406,is the truth about mother goose from the united states or england,['The Truth About Mother Goose'],['united states or england']
1407,What's an atari game developed by imagic,['Imagic'],['imagic']
1408,what was the cause of death for alexandru sahia?,['Alexandru Sahia'],['alexandru sahia']
1409,What a gameplay mode in the amazing spider-man,['The Amazing Spider-Man'],['amazing spider-man']
1410,Where was leopold stokowski born?,['Leopold Stokowski'],['leopold stokowski']
1411,which country is utah in ,['Utah'],['utah']
1412,Who is the publisher of the game shrek super party,['Shrek Super Party'],['game shrek super party']
1413,Name the film adaptation of the novel lincoln lawyer?,['The Lincoln Lawyer'],['novel lincoln lawyer']
1414,where was jean rousseau laid to rest,['Jean Rousseau'],['jean rousseau']
1415,whats an example name of a  role-playing video game ,['role-playing video game'],['video game']
1416,what language is major payne in?,['Major Payne'],['language']
1417,what is judit rezes occupation,['Judit Rezes'],"['judit', 'occupation']"
1418,is total eclipse anthology a pop rock album or hip-hop album,['Total Eclipse Anthology'],['total eclipse anthology']
1419,what kind of music does bruce cockburn write,['Bruce Cockburn'],['bruce cockburn']
1420,What type of film is the clay animated movie grass roots?,['Grass Roots'],"['film', 'clay', 'movie grass roots']"
1421,What is the sex of billy reynolds?,['Billy Reynolds'],['billy reynolds']
1422,what film was spike lee the producer of,['Spike Lee'],['spike lee']
1423,Where was karel appel born?,['Karel Appel'],['karel appel']
