,question,responses,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Wiki_Rank,Wiki_Top1,Wiki_Top2,Wiki_Top3,DBpedia_Rank,DBpedia_Top1,DBpedia_Top2,DBpedia_Top3
1488,what football position does jake mcdonough play,['Defensive end'],,,,,,,,,,,,
1489,Who is an artist of post-grunge music?,['27 (song)'],,,,,,,,,,,,
1490,What Italian artist was born in rome?,['A-Love'],,,,,,,,,,,,
1491,shout at the devil is in what language,[nan],,,,,,,,,,,,
1492,Name an actor.,['A. J. Bowen'],,,,,,,,,,,,
1493,"which us representative was born in ireton, iowa",['Stanley L. Greigg'],,,,,,,,,,,,
1494,What is an album by maow?,[nan],,,,,,,,,,,,
1495,That genre is steam,[nan],,,,,,,,,,,,
1496,which languages were available in the film damul?,['Hindi'],,,,,,,,,,,,
1497,Where was the birthplace of petrônio gontijo,['Brazil'],,,,,,,,,,,,
1498,which artist composed a love bizarre,['Sheila E.'],,,,,,,,,,,,
1499,Who was born in Paris?,['Abd al Malik (rapper)'],,,,,,,,,,,,
1500,which south asian language is dharti kahe pukarke filmed in?,[nan],,,,,,,,,,,,
1501,who was born in cheboygan,['Scott Sigler'],,,,,,,,,,,,
1502,which country is cícero santos from,"['Castelo, Espírito Santo']",,,,,,,,,,,,
1503,Who was born in wuppertal,['Cihan Kaptan'],,,,,,,,,,,,
1504,what ideology do the union of citizens of georgia practice,['Liberalism'],,,,,,,,,,,,
1505,where in northern california did e. otis charles die,['California'],,,,,,,,,,,,
1506,"What kind of album is best of bud powell on verve, the?",[nan],,,,,,,,,,,,
1507,who is the author of quotations from chairman mao tse-tung,['Mao Zedong'],,,,,,,,,,,,
1508,what position does sisinio gonzález martínez play?,[nan],,,,,,,,,,,,
1509,in which midwestern city was jenn korbee born,[nan],,,,,,,,,,,,
1510,where in the us is henry johnson buried in?,['Arlington National Cemetery'],,,,,,,,,,,,
1511,What is bernard erhard's job?,['Actor'],,,,,,,,,,,,
1512,Where was jules verne born,['Bourbon Restoration in France'],,,,,,,,,,,,
1513,Who composed the music for the film the inheritance?,['Ennio Morricone'],,,,,,,,,,,,
1514,Name a film producer.,['Agostino Bonello'],,,,,,,,,,,,
1515,Who is a singer-songwriter?,['Franck Monnet'],,,,,,,,,,,,
1516,what is alexander macfarlane's profession?,['Logician'],,,,,,,,,,,,
1517,what position does anvar gafurov play,['Defender (association football)'],,,,,,,,,,,,
1518,Name an actor,['A. J. Bowen'],,,,,,,,,,,,
1519,where was mohamed kanu born,['Freetown'],,,,,,,,,,,,
1520,"Where is cyril connell, snr. from?",[nan],,,,,,,,,,,,
1521,who is a professional actor that was born in New York,['A. J. Bowen'],,,,,,,,,,,,
1522,What language is spoken in identity,[nan],,,,,,,,,,,,
1523,what country is the lempira department located in,['Honduras'],,,,,,,,,,,,
1524,what type of book is the good companions?,['Novel'],,,,,,,,,,,,
1525,what gender is blake brettschneider,[nan],,,,,,,,,,,,
1526,Where was kristin vigard born,"['Saint Paul, Minnesota']",,,,,,,,,,,,
1527,Where was avanti! filmed?,['Italy'],,,,,,,,,,,,
1528,what movie did benjamin stoloff direct?,['New Movietone Follies of 1930'],,,,,,,,,,,,
1529,what language is lovebooks presents in?,[nan],,,,,,,,,,,,
1530,which nationality does rachel hayward belong to,['Canada'],,,,,,,,,,,,
1531,what are action-adventure games for the computer,['60 Seconds!'],,,,,,,,,,,,
1532,What is the name of an Indian film director?,['Alan Ormsby'],,,,,,,,,,,,
1533,What is sri kommineni's gender?,[nan],,,,,,,,,,,,
1534,What sort of music is featured on revolution,[nan],,,,,,,,,,,,
1535,Which episodes did richard appel write?,[nan],,,,,,,,,,,,
1536,what film is produced by jackie chan?,['Who Am I 2015'],,,,,,,,,,,,
1537,who is the lyricist for the song life goes on?,['Emile Haynie'],,,,,,,,,,,,
1538,"if mihails miholaps played in the top third, which position did he play",['Forward (association football)'],,,,,,,,,,,,
1539,What is the sex of paul whitsun-jones?,[nan],,,,,,,,,,,,
1540,Where was guy branston born,['Leicester'],,,,,,,,,,,,
1541,which album is created by wizzard,['See My Baby Jive'],,,,,,,,,,,,
1542,what israeli city is joan of acre from,[nan],,,,,,,,,,,,
1543,What county was named for john m. berrien?,"['Berrien County, Georgia']",,,,,,,,,,,,
1544,Who did the music for the film aaj ka boss,[nan],,,,,,,,,,,,
1545,What war did john w. geary participate in,[nan],,,,,,,,,,,,
1546,what city was vernee watson-johnson born in,[nan],,,,,,,,,,,,
1547,Where was sharad malhotra born?,['Mumbai'],,,,,,,,,,,,
1548,what label is neef buck on,[nan],,,,,,,,,,,,
1549,is beverley thompson male or female,[nan],,,,,,,,,,,,
1550,what is cecil green's gender?,[nan],,,,,,,,,,,,
1551,vision of disorder is a hardcore/metalcore band from Long Island that records music from what genre?,['Alternative metal'],,,,,,,,,,,,
1552,is colom keating male or female,[nan],,,,,,,,,,,,
1553,where did  albert johanneson die,['Leeds'],,,,,,,,,,,,
1554,what program was cosgrove hall the creator of,['Alias the Jester'],,,,,,,,,,,,
1555,What is the gender of charles roka,[nan],,,,,,,,,,,,
1556,which comedy book did david walliams write?,"[""Sir Bernard's Stately Homes""]",,,,,,,,,,,,
1557,what gender is gus grissom,[nan],,,,,,,,,,,,
1558,where did woody hayes's life start,"['Clifton, Ohio']",,,,,,,,,,,,
1559,what is an album given by the cave singers,[nan],,,,,,,,,,,,
1560,what is the title of the work written by leigh brackett,['The Sword of Rhiannon'],,,,,,,,,,,,
1561,what does gregory goodman do for a living?,['Producer'],,,,,,,,,,,,
1562,what position does paul keita play,['Midfielder'],,,,,,,,,,,,
1563,whats the name of an album whose genre is calypso music,['Bobby Sox Idol'],,,,,,,,,,,,
1564,what film was randy edelman a music contributor for?,['27 Dresses'],,,,,,,,,,,,
1565,is edward rowe snow male or female,[nan],,,,,,,,,,,,
1566,what man was born in luton,['Jonathan Barnbrook'],,,,,,,,,,,,
1567,Where was alister hardy deceased?,['Oxfordshire'],,,,,,,,,,,,
1568,which country does the show un refugio para el amor originate from,['Mexico'],,,,,,,,,,,,
1569,what position does titus bonai play,['Forward (association football)'],,,,,,,,,,,,
1570,what gameplay mode can you play rally fusion: race of champions in,['Single-player video game'],,,,,,,,,,,,
1571,what is the profession of randy brown,['Player'],,,,,,,,,,,,
1572,What's nebojša koharović's profession?,['Diplomat'],,,,,,,,,,,,
1573,Where was Hungarian football player andrás gárdos born?,['Budapest'],,,,,,,,,,,,
1574,Name a Filipino post-grunge album.,['27 (song)'],,,,,,,,,,,,
1575,which battle was the waterloo bridge named after,['Battle of Waterloo'],,,,,,,,,,,,
1576,which language is kanwarlal filmed in?,['Hindi'],,,,,,,,,,,,
1577,Name an actor,['A. J. Bowen'],,,,,,,,,,,,
1578,What is the language of the film watermelon man?,[nan],,,,,,,,,,,,
1579,where was luis alberto lacalle born,['Montevideo'],,,,,,,,,,,,
1580,what is the place of birth of estanislao zuleta,['Medellín'],,,,,,,,,,,,
1581,Where was marc batta's place of birth?,[nan],,,,,,,,,,,,
1582,What gender is sue beardsmore,[nan],,,,,,,,,,,,
1583,what type of music does soul syndicate make,['Reggae'],,,,,,,,,,,,
1584,What is the name of someone who is very good at the guitar,['A. C. Newman'],,,,,,,,,,,,
1585,What kind of album is life in a beautiful light,[nan],,,,,,,,,,,,
1586,who composed the song paparazzi (lady gaga song),['Rob Fusari'],,,,,,,,,,,,
1587,where was nat king cole from,"['Montgomery, Alabama']",,,,,,,,,,,,
1588,who wrote the film eclipse?,['Michelangelo Antonioni'],,,,,,,,,,,,
1589,tudor place is an example of what kind of architectural style?,['Federal architecture'],,,,,,,,,,,,
1590,which position does max weiler play,['Defender (association football)'],,,,,,,,,,,,
1591,who directed cleopatra?,['Joseph L. Mankiewicz'],,,,,,,,,,,,
1592,What is lennox robinson 's gender?,[nan],,,,,,,,,,,,
1593,What is the gender of robert owen,[nan],,,,,,,,,,,,
1594,what is an example of renaissance architecture,['Akron Public Library'],,,,,,,,,,,,
1595,What is an example of a heavy metal band?,['Adrift (band)'],,,,,,,,,,,,
1596,What is Boyd Kosiyabong's profession?,['Producer'],,,,,,,,,,,,
1597,Where was hadise born,"['Mol, Belgium']",,,,,,,,,,,,
1598,What gender is bruno candido farias?,[nan],,,,,,,,,,,,
1599,Where was the battle of jaquijahuana held?,['Peru'],,,,,,,,,,,,
1600,what position does thomas tapeh play?,['Fullback (gridiron football)'],,,,,,,,,,,,
1601,which notable person died in abdolmalek rigi,[nan],,,,,,,,,,,,
1602,what category does the celestial object 943 begonia belong to,['Planet'],,,,,,,,,,,,
1603,what style of music does mark nauseef play,['Jazz'],,,,,,,,,,,,
1604,which artist performs a house music genre,['3 a.m. Eternal'],,,,,,,,,,,,
1605,What historian was born in london?,['21 Savage'],,,,,,,,,,,,
1606,Who directed the movie better luck tomorrow?,['Justin Lin'],,,,,,,,,,,,
1607,what type of book is the company of women,[nan],,,,,,,,,,,,
1608,what kind of video game is bone: the great cow race,['Adventure game'],,,,,,,,,,,,
1609,is margareth menezes signed to universal music group or young money,['EMI'],,,,,,,,,,,,
1610,what label signed ryujin kiyoshi,['EMI Music Japan'],,,,,,,,,,,,
1611,what film about steven prince did martin scorsese direct,['Hugo (film)'],,,,,,,,,,,,
1612,"what country was  chauncey steele, jr. born",[nan],,,,,,,,,,,,
1613,Where is friedrich karl schmidt from,['Germany'],,,,,,,,,,,,
1614,What genre of music is nue?,[nan],,,,,,,,,,,,
1615,What position does dick mcbride play in baseball?,['Pitcher'],,,,,,,,,,,,
1616,Where was kenneth heilman born?,['Brooklyn'],,,,,,,,,,,,
1617,What Canadian actor was born in new haven,['Albie Booth'],,,,,,,,,,,,
1618,who was the writer for the film the terminal,[nan],,,,,,,,,,,,
1619,what was kalākua kaheiheimālie's place of death,[nan],,,,,,,,,,,,
1620,is anna dorothea therbusch a male or female,[nan],,,,,,,,,,,,
1621,What is the birth place of jo weil,['Frankfurt'],,,,,,,,,,,,
1622,which 1976 comedy film did phillip adams produce?,['The Naked Bunyip'],,,,,,,,,,,,
1623,What is the nationality of cleopatra borel?,['Trinidad and Tobago'],,,,,,,,,,,,
1624,What position does mauricio pellegrino play?,[nan],,,,,,,,,,,,
1625,who was born in chowchilla,['Ronald D. Moore'],,,,,,,,,,,,
1626,Where did lois irene marshall pass away?,"['Phoenix, Arizona']",,,,,,,,,,,,
1627,What kind of music is bad boy joe,['House music'],,,,,,,,,,,,
1628,name a professional actor.,['A. J. Bowen'],,,,,,,,,,,,
1629,where was carlos césar neves born,['Uberaba'],,,,,,,,,,,,
1630,which album is played by gorilla biscuits,['Revelation Records'],,,,,,,,,,,,
1631,which position did andriy bohdanov play,['Midfielder'],,,,,,,,,,,,
1632,What type of computer videogame is marvel vs. capcom 2: new age of heroes?,['Fighting game'],,,,,,,,,,,,
1633,what country is kristen kish from,['Seoul'],,,,,,,,,,,,
1634,what films have bruce feirstein written?,['GoldenEye 007 (2010 video game)'],,,,,,,,,,,,
1635,Which Australian artist was born in dunedin?,['Lindsay Daen'],,,,,,,,,,,,
1636,Who helped produce the film strangers with candy?,[nan],,,,,,,,,,,,
1637,what country was vann vannak born in,['Cambodia'],,,,,,,,,,,,
1638,north-western province is in what country?,['Zambia'],,,,,,,,,,,,
1639,where was claude poirier born,['Montreal'],,,,,,,,,,,,
1640,Name a rhythm and blues artist,['24/7 (Meek Mill song)'],,,,,,,,,,,,
1641,What is the name of an artist that is signed to noise records,['Celtic Frost'],,,,,,,,,,,,
1642,which country is davey moore from,[nan],,,,,,,,,,,,
1643,what is a jazz album recorded in 1966?,['32 Records'],,,,,,,,,,,,
1644,advise & consent is a film produced by whom?,[nan],,,,,,,,,,,,
1645,whats folliott sandford pierpoint's gender,[nan],,,,,,,,,,,,
1646,what is carl emil petersen's biological sex,[nan],,,,,,,,,,,,
1647,Which artist is known for gangsta rap?,['Bitch Please II'],,,,,,,,,,,,
1648,who directed a fistful of fingers,['Edgar Wright'],,,,,,,,,,,,
1649,who directed too romantic,['Todd Field'],,,,,,,,,,,,
1650,where in turkey did manuel ii palaiologos' place of death?,[nan],,,,,,,,,,,,
1651,Who developed unreal championship?,['Epic Games'],,,,,,,,,,,,
1652,what genre did the artist in dread response perform,['Melodic death metal'],,,,,,,,,,,,
1653,What male politician died from tuberculosis?,['Mullah Omar'],,,,,,,,,,,,
1654,is philippe jaroussky male or female,[nan],,,,,,,,,,,,
1655,what type of music is congorock categorized as,['Electronic music'],,,,,,,,,,,,
1656,who was a judge,['A. Jay Cristol'],,,,,,,,,,,,
1657,In which northern french city was matthias de lobel born?,['Lille'],,,,,,,,,,,,
1658,What is the gender of markus bott,[nan],,,,,,,,,,,,
1659,Where was phil harvey birthed,"['Evanston, Illinois']",,,,,,,,,,,,
1660,where in england was angela c. smith born?,[nan],,,,,,,,,,,,
1661,What gender is mónika lamperth?,[nan],,,,,,,,,,,,
1662,who was an instrumentalist that played the saxophone,['A.C. Reed'],,,,,,,,,,,,
1663,where did paul foucher pass away,[nan],,,,,,,,,,,,
1664,what genre is the computer videogame i of the dragon,['Strategy game'],,,,,,,,,,,,
1665,what gameplay mode does secret of mana have,['Multiplayer video game'],,,,,,,,,,,,
1666,What is the country of origin of the film besa e kuqe?,['Albania'],,,,,,,,,,,,
1667,what albums have been released by humble pie?,[nan],,,,,,,,,,,,
1668,what is bambi jones's gender?,[nan],,,,,,,,,,,,
1669,where was don healy born,"['Rome, New York']",,,,,,,,,,,,
1670,What is the name of a film that david arnold contributed music toward,['Baby Boy (film)'],,,,,,,,,,,,
1671,What is the birth place of minnie tittell brune?,['California'],,,,,,,,,,,,
1672,who are valentinian ii's parents,['Valentinian I'],,,,,,,,,,,,
1673,what is ian johnson's gender?,[nan],,,,,,,,,,,,
1674,who was a person that was born in suffolk,"['John Taylor (cricketer, born 1923)']",,,,,,,,,,,,
1675,What is d. w. griffith's gender?,[nan],,,,,,,,,,,,
1676,who is the author of bloodlines,[nan],,,,,,,,,,,,
1677,which movie is produced by k. s. rama rao,['Veera Kannadiga'],,,,,,,,,,,,
1678,which musical instrument is played by quoc-bao,['Guitar'],,,,,,,,,,,,
1679,what is lin houston's gender?,[nan],,,,,,,,,,,,
1680,Who directed without anesthesia?,['Andrzej Wajda'],,,,,,,,,,,,
1681,where did battle of faesulae take place,['Fiesole'],,,,,,,,,,,,
1682,what are books written by rex stout,['Champagne for One'],,,,,,,,,,,,
1683,what is james mitchell (manager)'s gender?,[nan],,,,,,,,,,,,
1684,Who was douglas engelbart influenced by?,['Vannevar Bush'],,,,,,,,,,,,
1685,Who was hancock county named after,['John Hancock'],,,,,,,,,,,,
1686,who was the author of the startide rising novel,['David Brin'],,,,,,,,,,,,
1687,what city was buzz kilman given birth in,[nan],,,,,,,,,,,,
1688,"where was louis philippe, comte de ségur born",[nan],,,,,,,,,,,,
1689,Where did constance adams demille die,['Los Angeles'],,,,,,,,,,,,
1690,where was katsuhito asano born,[nan],,,,,,,,,,,,
1691,who was isabel maxwell's dad,['Robert Maxwell'],,,,,,,,,,,,
1692,"john linscom boss, jr. died where?",[nan],,,,,,,,,,,,
1693,What sort of metal does petr hošek play,['Folk metal'],,,,,,,,,,,,
1694,who is john landis's song's name,['Max Landis'],,,,,,,,,,,,
1695,What genre of game is maximo vs. army of zin?,['Action-adventure game'],,,,,,,,,,,,
1696,Where was Álvaro raposo de oliveira born?,['Peru'],,,,,,,,,,,,
1697,what type of country is b. j. thomas from,[nan],,,,,,,,,,,,
1698,Who is the developer of the videogame star trek: conquest?,['4J Studios'],,,,,,,,,,,,
1699,What female producer is responsible for the decline of western civilization?,['Gordon Brown'],,,,,,,,,,,,
1700,what film did dennis dugan direct,['Jack and Jill (2011 film)'],,,,,,,,,,,,
1701,Who is an artist that was signed to black mark productions,['Quorthon'],,,,,,,,,,,,
1702,What music genre is unstoppable?,[nan],,,,,,,,,,,,
1703,what gender is luisa valenzuela?,[nan],,,,,,,,,,,,
1704,to what film did scott bradley contribute music,[nan],,,,,,,,,,,,
1705,where was kasey lansdale given birth,"['Nacogdoches, Texas']",,,,,,,,,,,,
1706,what gender is chris jones,[nan],,,,,,,,,,,,
1707,what genre is the generous mr. lovewell?,[nan],,,,,,,,,,,,
1708,what is paul edwin roth's gender,[nan],,,,,,,,,,,,
1709,which football position does josé joão pereira play,['Forward (association football)'],,,,,,,,,,,,
1710,what game player mode is doraemon: nobita to mittsu no seireiseki played in?,['Multiplayer video game'],,,,,,,,,,,,
1711,what position does michael sternkopf like to play,['Midfielder'],,,,,,,,,,,,
1712,what politician was birthed in new york city,['6ix9ine'],,,,,,,,,,,,
1713,which professional footballer was born in  hemel hempstead,['Maurice Cook'],,,,,,,,,,,,
1714,"if william bates is a man, what's his sex",[nan],,,,,,,,,,,,
1715,what is benito stefanelli's place of birth in europe?,['Lazio'],,,,,,,,,,,,
1716,what gender is krystyna janda,[nan],,,,,,,,,,,,
1717,Where was dave b. mitchell born?,[nan],,,,,,,,,,,,
1718,where was reema debnath born,['Agartala'],,,,,,,,,,,,
1719,who is the child of newton n. minow?,['Martha Minow'],,,,,,,,,,,,
1720,what actor did adapt the super troopers film,['Kevin Heffernan (actor)'],,,,,,,,,,,,
1721,What is the genre of the book divisadero,['Fiction'],,,,,,,,,,,,
1722,who was born in marianao,['Wilfredo Martínez'],,,,,,,,,,,,
1723,What is ashkan sahihi's gender,[nan],,,,,,,,,,,,
1724,what silent film was released in 1927?,['39 East'],,,,,,,,,,,,
1725,who was the publisher of silent hunter 4: wolves of the pacific,['Ubisoft'],,,,,,,,,,,,
1726,who was the producer for  butterflies are free,['M. J. Frankovich'],,,,,,,,,,,,
1727,what country is mario reiter from,[nan],,,,,,,,,,,,
1728,which basin countries does the redea river flow through,[nan],,,,,,,,,,,,
1729,what city in Westchester County is brian sweeney from,"['Yonkers, New York']",,,,,,,,,,,,
1730,is jay costa male or female,[nan],,,,,,,,,,,,
1731,which soccer position is played by thanasis papazoglou,['Forward (association football)'],,,,,,,,,,,,
1732,What is neil sloane's gender?,[nan],,,,,,,,,,,,
1733,which mode is atlantis evolution played in,['Single-player video game'],,,,,,,,,,,,
1734,what country is the banjar regency a part of,['Indonesia'],,,,,,,,,,,,
1735,what is shalva maglakelidze's gender?,[nan],,,,,,,,,,,,
1736,which games has midway games published,['2 on 2 Open Ice Challenge'],,,,,,,,,,,,
1737,who is father of nigel calder,['Peter Ritchie Calder'],,,,,,,,,,,,
1738,Who was born in weimar?,['Constanze Moser-Scandolo'],,,,,,,,,,,,
1739,how does pierre charron identify,[nan],,,,,,,,,,,,
1740,what position does sergey kramarenko play in football,[nan],,,,,,,,,,,,
1741,Where was Branko Isaković born?,['Valjevo'],,,,,,,,,,,,
1742,What profession was Bernard Kouchner in?,['Politician'],,,,,,,,,,,,
1743,Name a work by robert b. parker,['Early Autumn (Parker novel)'],,,,,,,,,,,,
1744,Name a norwegian football defender born in kristiansand,['Tchort'],,,,,,,,,,,,
1745,What is the gender of sidney edwards morse?,[nan],,,,,,,,,,,,
1746,what position does dave huppert play,['Catcher'],,,,,,,,,,,,
1747,Where did alfred uhl die,[nan],,,,,,,,,,,,
1748,which russian city was nestor kukolnik born in,[nan],,,,,,,,,,,,
1749,what is pepe marchena's nationality,['Andalusia'],,,,,,,,,,,,
1750,who is a singer and a model (person),[nan],,,,,,,,,,,,
1751,what is a movie by the cinematographer s. gopal reddy,['Mujhe Insaaf Chahiye'],,,,,,,,,,,,
1752,Who is an artist that was signed by epic records,['Abriendo Puertas (song)'],,,,,,,,,,,,
1753,What movie has jacques demy directed,['Donkey Skin (film)'],,,,,,,,,,,,
1754,What city did walther rathenau die in?,['Berlin'],,,,,,,,,,,,
1755,what genre is the book the seven storey mountain,['Autobiography'],,,,,,,,,,,,
1756,ponderosa is under what genre,['Western (genre)'],,,,,,,,,,,,
1757,where in brazil was andré bahia born?,['Rio de Janeiro'],,,,,,,,,,,,
1758,what is and then there were none's album,[nan],,,,,,,,,,,,
1759,What is the nationality of alex karmo,['Montserrado County'],,,,,,,,,,,,
1760,Where in Austria was franz wallack born?,[nan],,,,,,,,,,,,
1761,damon albarn wrote the lyrics for what song?,"[""Fool's Day""]",,,,,,,,,,,,
1762,is milton green male or female,[nan],,,,,,,,,,,,
1763,What conflict did raymond zussman participate in?,['World War II'],,,,,,,,,,,,
1764,who is a person buried in elmwood cemetery,['Preston Smith (general)'],,,,,,,,,,,,
1765,what is steve harvey's profession,['Comedian'],,,,,,,,,,,,
1766,which movie was written by david koepp,['Premium Rush'],,,,,,,,,,,,
1767,Where did m. a. r. barker pass away,['Minneapolis'],,,,,,,,,,,,
1768,Name an actor.,['A. J. Bowen'],,,,,,,,,,,,
1769,where in new york city was billybangartist's place of death?,['Harlem'],,,,,,,,,,,,
1770,who wrote any number can play,['Richard Brooks'],,,,,,,,,,,,
1771,what position does ray moore play,['Pitcher'],,,,,,,,,,,,
1772,what sex is john rand?,[nan],,,,,,,,,,,,
1773,What is the genre of the book the berlin stories?,['Book'],,,,,,,,,,,,
1774,who is the director of the canada on strike episode,[nan],,,,,,,,,,,,
1775,who was the architect of coventry cathedral,['Basil Spence'],,,,,,,,,,,,
1776,Who wrote the episode red hot catholic love?,[nan],,,,,,,,,,,,
1777,which label does tinariwen release music under,['Epitaph Records'],,,,,,,,,,,,
1778,who created the tv program bams unholy union,['Bam Margera'],,,,,,,,,,,,
1779,who directed the movie volga-volga,['Grigori Aleksandrov'],,,,,,,,,,,,
1780,what type of game is sound shapes?,['Platform game'],,,,,,,,,,,,
1781,Who was born in Montevideo?,['Alejandro Mello'],,,,,,,,,,,,
1782,what biological sex is daniel schlereth,[nan],,,,,,,,,,,,
1783,what album was done by the artist sworn enemy,[nan],,,,,,,,,,,,
1784,what is the peter friedrich bouché's sex?,[nan],,,,,,,,,,,,
1785,who wrote friend of the devil,['Peter Robinson (novelist)'],,,,,,,,,,,,
1786,what type of music does michaela paetsch make,['Classical music'],,,,,,,,,,,,
1787,Former baseball player hank fischer played which position?,['Pitcher'],,,,,,,,,,,,
1788,which soccer position is played by ayden duffy,['Goalkeeper (association football)'],,,,,,,,,,,,
1789,what is bertrand moulinet's gender,[nan],,,,,,,,,,,,
1790,which netherlands city was andries bicker born in?,[nan],,,,,,,,,,,,
1791,where in new york did paul oskar kristeller die?,[nan],,,,,,,,,,,,
1792,what is carl hansen's gender,[nan],,,,,,,,,,,,
1793,what kind of video game is looney tunes: marvin strikes back!,['Action game'],,,,,,,,,,,,
1794,which gender is augustin verot,[nan],,,,,,,,,,,,
1795,what kind of music is better than raw,[nan],,,,,,,,,,,,
1796,what city in greece did  michalis oikonomou die,['Athens'],,,,,,,,,,,,
1797,what position does jaime villegas play,['Defender (association football)'],,,,,,,,,,,,
1798,what is a turn-based rpg that features multiplayer,['221B Baker Street (video game)'],,,,,,,,,,,,
1799,Who produced the film ex machina,['John Woo'],,,,,,,,,,,,
1800,whats the title of a  alternative rock album,['Again (Alice in Chains song)'],,,,,,,,,,,,
1801,Where was elden kingston found to have died?,[nan],,,,,,,,,,,,
1802,Name a person born in hokkaido.,['Asahikuni Masuo'],,,,,,,,,,,,
1803,where did nappy brown's life end,"['Charlotte, North Carolina']",,,,,,,,,,,,
1804,"which company produced mary poppins, goodbye?",['Mosfilm'],,,,,,,,,,,,
1805,Which film did harris jayaraj do the music for,['7aum Arivu'],,,,,,,,,,,,
1806,who directed the movie ain't she tweet,['Friz Freleng'],,,,,,,,,,,,
1807,what is roddy maude-roxby's country of nationality?,['England'],,,,,,,,,,,,
1808,which genre does george jackson perform,['Soul music'],,,,,,,,,,,,
1809,Who did the cinematography of the stranger,['Russell Metty'],,,,,,,,,,,,
1810,"which politician was born in victoria, british columbia",['Clay Hebenton'],,,,,,,,,,,,
1811,Name a athlete who plays shooting guard in basketball.,['A. J. English'],,,,,,,,,,,,
1812,what instrument does tony laureano play,['Percussion instrument'],,,,,,,,,,,,
1813,Name someone who was born in rotherham,['Allan Gilliver'],,,,,,,,,,,,
1814,The film in praise of older women was based in which country?,[nan],,,,,,,,,,,,
1815,What genre of book is villa incognito?,['Novel'],,,,,,,,,,,,
1816,what city did leon biliński ie in,[nan],,,,,,,,,,,,
1817,gigantics was produced by whom?,[nan],,,,,,,,,,,,
1818,is benjamin watson a man or a woman,[nan],,,,,,,,,,,,
1819,what movie was bert glennon a cinematographer on,['San Antonio (film)'],,,,,,,,,,,,
1820,What position did soccer player kenan Čejvanović play,['Defender (association football)'],,,,,,,,,,,,
1821,what city was michael shure born in,['New York City'],,,,,,,,,,,,
1822,who is the publisher for the game south park: chef's luv shack,['Acclaim Entertainment'],,,,,,,,,,,,
1823,which position in football does angelo pizzetti play as?,['Goalkeeper (association football)'],,,,,,,,,,,,
1824,Name a person with the profession of impresario.,['George Black (producer)'],,,,,,,,,,,,
1825,Where did madame de la fayette die?,['Paris'],,,,,,,,,,,,
1826,where is rok hanžič from,['Ljubljana'],,,,,,,,,,,,
1827,What is the sex of edgar wilson,[nan],,,,,,,,,,,,
1828,what indian screenwriter was born in mumbai,['Ajit Hutheesing'],,,,,,,,,,,,
1829,where did cardell camper die,"['Beaumont, California']",,,,,,,,,,,,
1830,who are individuals born in montreal,['A. J. M. Smith'],,,,,,,,,,,,
1831,who created batman,['Bill Finger'],,,,,,,,,,,,
1832,what type of game is pingus?,['Single-player video game'],,,,,,,,,,,,
1833,Which gameplay mode is used for harry potter and the half-blood prince?,['Multiplayer video game'],,,,,,,,,,,,
1834,Where did ferdinando galli-bibiena pass away,[nan],,,,,,,,,,,,
1835,Who was born in yakima?,['Bob Wells (baseball)'],,,,,,,,,,,,
1836,What company developed blazing angels?,['List of Ubisoft subsidiaries'],,,,,,,,,,,,
1837,what is sergei puskepalis's place of birth,['Soviet Union'],,,,,,,,,,,,
1838,What is the video game genre of god of war iii,['Action-adventure game'],,,,,,,,,,,,
1839,what position does jay gainer play?,['First baseman'],,,,,,,,,,,,
1840,What is the place of death of ralph m. rich?,[nan],,,,,,,,,,,,
1841,what is per roar bredvold's sex,[nan],,,,,,,,,,,,
1842,what is the production company for the film on the road,[nan],,,,,,,,,,,,
1843,what is t. keith glennan's nationality,['United States'],,,,,,,,,,,,
1844,yes (band)  is a performer of what musical genre,['Art rock'],,,,,,,,,,,,
1845,which country does terry considine belong to,[nan],,,,,,,,,,,,
1846,was kastro born in manhattan or boston,['New York City'],,,,,,,,,,,,
1847,What baseball player was born in san francisco?,['Al Gallagher'],,,,,,,,,,,,
1848,Name an artist on the label flip records,['My Generation (Limp Bizkit song)'],,,,,,,,,,,,
1849,Which position does the football player samir fazli play?,['Forward (association football)'],,,,,,,,,,,,
1850,what position does corey webster play in football,['Cornerback'],,,,,,,,,,,,
1851,what is the sex of hubert renfro knickerbocker?,[nan],,,,,,,,,,,,
1852,What is the place of death of lane smith?,['California'],,,,,,,,,,,,
1853,which airport is the hub for winair,['Princess Juliana International Airport'],,,,,,,,,,,,
1854,what kind of music does the emerson string quartet play,['Classical music'],,,,,,,,,,,,
1855,what kind of gender is malcolm brabant?,[nan],,,,,,,,,,,,
1856,which musician contributed to acid factory,['Ranjit Barot'],,,,,,,,,,,,
1857,who is a person born in imus,['Ayong Maliksi'],,,,,,,,,,,,
1858,is hannah frank female or male,[nan],,,,,,,,,,,,
1859,which film did film4 productions produce,['All Stars (2013 film)'],,,,,,,,,,,,
1860,What is Christian Pena's place of birth?,[nan],,,,,,,,,,,,
1861,which world conflict did gustav gihr participate in?,['World War II'],,,,,,,,,,,,
1862,What is the gender of destorm,[nan],,,,,,,,,,,,
1863,who created kutumb,['Balaji Telefilms'],,,,,,,,,,,,
1864,name the football position that reis ashraf  plays,['Forward (association football)'],,,,,,,,,,,,
1865,Name an actor,['A. J. Bowen'],,,,,,,,,,,,
