"Question";"First 3 Words";"Last 3 Words"
"England is the origin of how many things?";"England is the";" how many things?"
"Who was the silver medalist of Gymnastics at the 2008 Summer Olympics Women's artistic individual all-around?";"Who was the";" artistic individual all-around?"
"What sports can be played in Kharghar's schools";"What sports can";" in Kharghar's schools"
"Where did george f hoar and willian langer spend the most important time of their political career?";"Where did george";" their political career?"
"Who were some governmental heads in Nazi Germany?";"Who were some";" in Nazi Germany?"
"Name the office holder whose battle is Siege of Fort Recovery and belongs to the Indian territory branch?";"Name the office";" Indian territory branch?"
"Who was the writer of the novel Maniac Magee?";"Who was the";" novel Maniac Magee?"
"What is the district of Fort Heath radar station?";"What is the";" Heath radar station?"
"Name the commander of Battle of the Thames ?";"Name the commander";" the Thames ?"
"What is the affiliation of the hospital where Alfred Blalock works?";"What is the";" Alfred Blalock works?"
"Which TV show produced by Paramount Television and is located in Massachusetts ?";"Which TV show";" in Massachusetts ?"
"What awards have been awarded both to Ingmar bergman and James O'Brien?";"What awards have";" and James O'Brien?"
"Which university has chancellor as Nicholas S. Zeppos?";"Which university has";" Nicholas S. Zeppos?"
"List all the artist of albums which have been produced by Stephen Kozmeniuk ?";"List all the";" Stephen Kozmeniuk ?"
"Where are jockeys in Dubai World Cup from?";"Where are jockeys";" World Cup from?"
"What is the hometown of the volleyball player whose club is VC Lokomotiv Novosibirsk ?";"What is the";" Lokomotiv Novosibirsk ?"
"Who is the film director of Alice's Wonderland ?";"Who is the";" Alice's Wonderland ?"
"Which parent comapny of hypnotize Minds is the label of the Producers, a 2005 film?";"Which parent comapny";" a 2005 film?"
"What are the television shows whose distributer is HBO?";"What are the";" distributer is HBO?"
"How many record labels publish works of Jazz fusion?";"How many record";" of Jazz fusion?"
"Which famous person is born in Marlboro Township, New Jersey?";"Which famous person";" Township, New Jersey?"
"Does the AMC Gremlin use an Audi engine?";"Does the AMC";" an Audi engine?"
"What is the fictional character which has Clan McDuck and Ludwig Von Draken as relatives?";"What is the";" Draken as relatives?"
"How many books have been penned by Miguel de Cervantes?";"How many books";" Miguel de Cervantes?"
"Which branch of american military have both George Siebels jr and Leroy Collins served?";"Which branch of";" Leroy Collins served?"
"How many people have managed a club which owns the Riverside Stadium?";"How many people";" the Riverside Stadium?"
"Which basketball players have played in the league of National Basketball Association?";"Which basketball players";" National Basketball Association?"
"List some companies founded by Jim Harris.";"List some companies";" by Jim Harris."
"Who rented the stadium where the UFC 152 took place?";"Who rented the";" 152 took place?"
"Who did Daniel Gibson marry?";"Who did Daniel";" Daniel Gibson marry?"
"What university campuses are situated in Indiana?";"What university campuses";" situated in Indiana?"
"Count the number of books whose author's were born in Alcal de Henares ?";"Count the number";" de Henares ?"
"What is the county seat of the county which has an Evergreen High School?";"What is the";" Evergreen High School?"
"What does the cahora bassa flow into?";"What does the";" bassa flow into?"
"Which cities are located around the sea into which the ionian flows?";"Which cities are";" the ionian flows?"
"What is the television show whose theme music composer's home town is El Sobrante, California?";"What is the";" El Sobrante, California?"
"Who directed the haunted house and alice in wonderland?";"Who directed the";" alice in wonderland?"
"How many awards have been given to the founder of Grameen Bank?";"How many awards";" of Grameen Bank?"
"Where is the T.I. Ahmadiyya Girls Senior High School?";"Where is the";" Senior High School?"
"In which state is Goose Lake Valle, which is also part of Lava River Cave ?";"In which state";" River Cave ?"
"Name the awards won by Elie Wiesel ?";"Name the awards";" Elie Wiesel ?"
"List the total number of board members who share board with Creative commons ?";"List the total";" Creative commons ?"
"How many different things are used as ingredients in Sweden?";"How many different";" ingredients in Sweden?"
"Which species' members are there in the animal kingdom?";"Which species' members";" the animal kingdom?"
"Count all the TV shows which are related to the ones produced by Julie Gardner.";"Count all the";" by Julie Gardner."
"Which military personnel belong to the branch of Continental Army?";"Which military personnel";" of Continental Army?"
"Give me a count of royalties buried in Rome ?";"Give me a";" in Rome ?"
"What is the capital of the region which maintains the South Park Bridge ?";"What is the";" Park Bridge ?"
"What is the mascot of the military unit whose commander is Herbert Bautista ?";"What is the";" Herbert Bautista ?"
"Count the number of  fields of the scientists whose one of the fields is Sanskrit?";"Count the number";" fields is Sanskrit?"
"What company's founder is Jim Harris?";"What company's founder";" is Jim Harris?"
"How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved?";"How many factions";" Lignery was involved?"
"How many people currently play for the NYC FC?";"How many people";" the NYC FC?"
"Did Hank Williams Jr. make Early in the Morning and Late at Night?";"Did Hank Williams";" Late at Night?"
"Where was James McClure born ?";"Where was James";" McClure born ?"
"What is the parent company of Edsel?";"What is the";" company of Edsel?"
"Which part of the US political framework did Arthur P Bagby and Thomas Holliday Hicks both serve?";"Which part of";" Hicks both serve?"
"What is the serving railway line of Rostov-Glavny ?";"What is the";" of Rostov-Glavny ?"
"What has Carl Sagan written his books about?";"What has Carl";" his books about?"
"Name the president served by a lieutenant who succeeded Bob C Riley.";"Name the president";" Bob C Riley."
"Where is the hometown of A Bartlett Giamatti?";"Where is the";" A Bartlett Giamatti?"
"Quebec born ice hockey players have stopped playing for which teams?";"Quebec born ice";" for which teams?"
"What are some other things developed by the company who made the remote desktop protocol?";"What are some";" remote desktop protocol?"
"Name the university whose athletic department is called National Collegiate Athletic Association and has a chancellor named Nicholas S. Zeppos?";"Name the university";" Nicholas S. Zeppos?"
"What movies have been produced by the production house owned by Larry J. Franco?";"What movies have";" Larry J. Franco?"
"In which series has Sean Young portrayed someone?";"In which series";" Young portrayed someone?"
"What is the mascot of Celal Bayar University ?";"What is the";" Bayar University ?"
"List the sports associated with Mariveles, Bataan?";"List the sports";" with Mariveles, Bataan?"
"Who is buried at the place governed by National Park Service?";"Who is buried";" National Park Service?"
"Name the constituency of Jonas Gahr Stre?";"Name the constituency";" Jonas Gahr Stre?"
"Count the different religions followed by Second Lieutenants in military.";"Count the different";" Lieutenants in military."
"Does vance johnson play as a wide receiver?";"Does vance johnson";" a wide receiver?"
"Who is the performer of the album whose subsequent work is Willie Nelson and Family?";"Who is the";" Nelson and Family?"
"Name the software which has been developed by John Fanning?";"Name the software";" by John Fanning?"
"Which home town of Pavel Moroz is the death location of the Yakov Estrin?";"Which home town";" the Yakov Estrin?"
"List the developers who has contributed to both GNOWSYS and GNU TeXmacs?";"List the developers";" and GNU TeXmacs?"
"What is the famous relative of Mrunalini Kunte known for?";"What is the";" Kunte known for?"
"Give me all the alma mater of the relatives of Samuek Moreno Rojas ?";"Give me all";" Moreno Rojas ?"
"Which city's foundeer is John Forbes?";"Which city's foundeer";" is John Forbes?"
"What is the river whose source is Lake Ontario?";"What is the";" is Lake Ontario?"
"What do typically NGOs work for?";"What do typically";" NGOs work for?"
"What band was Afrika Baby Bam a part of, and often performed with Q Tip?";"What band was";" with Q Tip?"
"Which river flows through Hudson Highlands State park and also through Troy, New york ?";"Which river flows";" New york ?"
"What is the location country of the bank whose successor is Mauritius Bank ?";"What is the";" Mauritius Bank ?"
"Which musical artist associated with Tony Allen has label with Celluloid Records ?";"Which musical artist";" Celluloid Records ?"
"Joe Hahn is the member of what band?";"Joe Hahn is";" of what band?"
"Which publisher of Lucifer's hammer is also known for Jo Garcia ?";"Which publisher of";" Jo Garcia ?"
"Is US Navy garrisoned at Arlington County, Virginia?";"Is US Navy";" Arlington County, Virginia?"
"In which city is Arsenal Cider House located?";"In which city";" Cider House located?"
"Which office of Walter Evans Edge is also the part of Atlantic seaboard fall lines ?";"Which office of";" fall lines ?"
"What is the label of Next Thing ?";"What is the";" Next Thing ?"
"Which HBO's television series was produced by Erik Bork?";"Which HBO's television";" by Erik Bork?"
"List the institute of Robert hall ?";"List the institute";" Robert hall ?"
"Which shareholder of Naval Air facility Adak is also the operator of New Sanno Hotel ?";"Which shareholder of";" Sanno Hotel ?"
"What is the country whose leader was once Valentina Matviyenko?";"What is the";" once Valentina Matviyenko?"
"In which movies has momoko kochi acted";"In which movies";" momoko kochi acted"
"What does the bridge go over, which is in Katima Mulilo?";"What does the";" in Katima Mulilo?"
"Name a show hosted by Brian Dunkleman and judged by Harry Connick, Jr.?";"Name a show";" Harry Connick, Jr.?"
"How many scientist have won an award by the society led by Venkatraman Ramakrishnan?";"How many scientist";" by Venkatraman Ramakrishnan?"
"Who did the person whose predecessor is Arthur Slaght, play for?";"Who did the";" Slaght, play for?"
"Is lion an animal?";"Is lion an";" lion an animal?"
"Name the garrison of the Western Naval Command and line of the Vadodara Junction railway station ?";"Name the garrison";" railway station ?"
"Is Azerbaijan the membership of European Go Federation?";"Is Azerbaijan the";" European Go Federation?"
"People of which religion have been the members of parliament, and are from the Kalutara Electoral district?";"People of which";" Kalutara Electoral district?"
"Harry Huston and Dick Spalding played their first match for which team?";"Harry Huston and";" for which team?"
"What are the television shows telecasted on the network which has headquarters at Atlanta?";"What are the";" headquarters at Atlanta?"
"What nicknames do the universities in Norton, Massachusetts have?";"What nicknames do";" Norton, Massachusetts have?"
"Stan Van Gundy serves as a president for which basketball team?";"Stan Van Gundy";" which basketball team?"
"Is Hyundai Lavita assembled in Malaysia?";"Is Hyundai Lavita";" assembled in Malaysia?"
"What is the university whose campus is Mount Moosilauke?";"What is the";" is Mount Moosilauke?"
"Count the different alma maters of people employed by the CNN.";"Count the different";" by the CNN."
"What nation is the motherland of Ricardo Alfonso Cerna  where Apostolic Vicariate of El Petn is located?";"What nation is";" Petn is located?"
"To which label did The Producers and I pray on Christmas sign up?";"To which label";" Christmas sign up?"
"What are the movies whose music composer is Akira Ifukube?";"What are the";" is Akira Ifukube?"
"Name the president who had relatives in Clinton family and lieutenant named Joe Purcell?";"Name the president";" named Joe Purcell?"
"List down the prime ministers of Peter Thorneycroft?";"List down the";" of Peter Thorneycroft?"
"Erik Jendresen is writer and Play tone is company of which TV show?";"Erik Jendresen is";" which TV show?"
"Count all american football players whose former team owns Lucas Oil Stadium ?";"Count all american";" Oil Stadium ?"
"Who collaborated with Johnny Cash and Kris Kristofferson ?";"Who collaborated with";" Kris Kristofferson ?"
"Did Chant Mas originate in West Africa?";"Did Chant Mas";" in West Africa?"
"What is the common debut team of the Butch Metzger and Dan Otero?";"What is the";" and Dan Otero?"
"Rivers which end in Arkansas go through which cities?";"Rivers which end";" through which cities?"
"What is the purpose of New Zealand Chess Federation ?";"What is the";" Chess Federation ?"
"How many people are in the continental army?";"How many people";" the continental army?"
"How many games are released for virtual consoles?";"How many games";" for virtual consoles?"
"Name the university with affiliations as Graham Holdings Company and campus at Indiana?";"Name the university";" campus at Indiana?"
"Which river inflow of the Cahora Bassa is also Batoka Gorge Hydroelectric Power Station's river ?";"Which river inflow";" Station's river ?"
"Where is the county seat of King County, Washington?";"Where is the";" King County, Washington?"
"Who are the parent of the people that has POD as Redding, Connecticut ?";"Who are the";" Redding, Connecticut ?"
"What is the honorary title of the narrator of Everything Will Be OK?";"What is the";" Will Be OK?"
"Where did the Vitis Vinifera grapes originate?";"Where did the";" Vinifera grapes originate?"
"List the books by the authors buried in the Convent of the Barefoot Trinitarians?";"List the books";" the Barefoot Trinitarians?"
"Is Michelangelo the painter of The Persian Boy?";"Is Michelangelo the";" The Persian Boy?"
"Who did their highschool from a school whose mascot was a fighting tiger?";"Who did their";" a fighting tiger?"
"Is Queen Latifah the narrator of Arctic Tale?";"Is Queen Latifah";" of Arctic Tale?"
"Which university attended by Franklin W. Olin was also the alma mater of Patty Lin ?";"Which university attended";" Patty Lin ?"
"Where is Carmel Winery?";"Where is Carmel";" is Carmel Winery?"
"What are the universities where athletics is regulated by National Collegiate Athletic Association?";"What are the";" Collegiate Athletic Association?"
"How many politicians are in the US Senate?";"How many politicians";" the US Senate?"
"Give me the home town of all musical artists who uses Guitar as instrument ?";"Give me the";" as instrument ?"
"What are the awards won by the person who is an authority of Latania verschaffeltii?";"What are the";" of Latania verschaffeltii?"
"Which awards have been given to both Ingmar Bergman and Charles LeMaire?";"Which awards have";" and Charles LeMaire?"
"Who had headed the governmental agencies whose admin HQ was in Niederkirchnerstrasse?";"Who had headed";" was in Niederkirchnerstrasse?"
"In how many different highschools have people schooled in Penn State Nittany Lions football studied?";"In how many";" Lions football studied?"
"Name the sports played by Fr. Agnel Multipurpose School and Junior College?";"Name the sports";" and Junior College?"
"Count the number of musical work which were sold by Sony Music?";"Count the number";" by Sony Music?"
"In which common territory did Sino French war and the Tonkin campaign take place?";"In which common";" campaign take place?"
"Name the TV show whose cast member is Companion (Doctor Who) and is related to The Sarah Jane Adventures?";"Name the TV";" Sarah Jane Adventures?"
"Who founded a company which served Mid Wales ?";"Who founded a";" Mid Wales ?"
"Where does the river flow into, which starts at the Sierra Madre de Chiapas?";"Where does the";" Madre de Chiapas?"
"Count everyone who studied at an institute which are in Suburbs?";"Count everyone who";" are in Suburbs?"
"What show has Sirius XM Holdings and Fox Sports Radio as channels ?";"What show has";" as channels ?"
"Who authored the work illustrated by Hiroyuki Takei?";"Who authored the";" by Hiroyuki Takei?"
"Name the college of Jon Curran?";"Name the college";" of Jon Curran?"
"Who all are buried in Arlington national cementary?";"Who all are";" Arlington national cementary?"
"Does the St lawrence river start in Kingston, Ontario?";"Does the St";" in Kingston, Ontario?"
"Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot).";"Give me the";" is Roundhead (Wyandot)."
"Which are the major hubs of airline which operates the Menora Tunnel?";"Which are the";" the Menora Tunnel?"
"Among the universities having Gyrfalcon as mascot which have Michelle D. Johnson as superintendent?";"Among the universities";" Johnson as superintendent?"
"What are the movies whose music composer uses a Hammond organ?";"What are the";" a Hammond organ?"
"Name all the soccer players who played in an under 18 club for La Liga?";"Name all the";" for La Liga?"
"To which political party does the successor of Radhabinod Koijam belong?";"To which political";" Radhabinod Koijam belong?"
"Copley Medal has been awarded to which scientists?";"Copley Medal has";" to which scientists?"
"What is the place of birth of the jockey who breeded De La Rose ?";"What is the";" La Rose ?"
"To which region does the Miluk language belong?";"To which region";" Miluk language belong?"
"Name the common current team of the Shaun Thong and Kaan Onder?";"Name the common";" and Kaan Onder?"
"How many different people hold authority over the members of Balanidae family?";"How many different";" of Balanidae family?"
"Name the current club of Abdelhameed Amarri ?";"Name the current";" Abdelhameed Amarri ?"
"On how many different grounds were seasons chaired by Ronaldo held?";"On how many";" by Ronaldo held?"
"Whose doctoral student is Etienne Bieler?";"Whose doctoral student";" is Etienne Bieler?"
"Name the serving line of Daund Junction railway station?";"Name the serving";" Junction railway station?"
"Through which states does the stream ending at Saunders county go?";"Through which states";" Saunders county go?"
"In which place is the company which is known for Barbara bestor located ?";"In which place";" bestor located ?"
"Who gave the voice to the characters sculpted by Clamp?";"Who gave the";" sculpted by Clamp?"
"Which city's mayor is married to Jean Marc Germain?";"Which city's mayor";" Jean Marc Germain?"
"Which planet was discovered by Urbain Le Verrier?";"Which planet was";" Urbain Le Verrier?"
"Who is venerated in  Judaism and Islam?";"Who is venerated";" Judaism and Islam?"
"Is jim harbaugh currently in the Michigan Wolverines?";"Is jim harbaugh";" the Michigan Wolverines?"
"What are the awards won by the film editor of The Search?";"What are the";" of The Search?"
"Which video game composed by Hirokazu Tanaka can be played on virtual Console ?";"Which video game";" virtual Console ?"
"What are some bands originating in London?";"What are some";" originating in London?"
"In which fields are the graduates of Worcester College, Oxford working?";"In which fields";" College, Oxford working?"
"What television show is aired on channel Sirius XM Holdings?";"What television show";" Sirius XM Holdings?"
"What band made The trial and One of these days song?";"What band made";" these days song?"
"Where is Ethiopian Parliament Building located ?";"Where is Ethiopian";" Building located ?"
"What is the television show whose vocals are performed by April Stewart and Mona Marshall?";"What is the";" and Mona Marshall?"
"Bantam Spectra is the publisher of which series?";"Bantam Spectra is";" of which series?"
"Who all have appointed governess born in Magnolia Plantation gardens?";"Who all have";" Magnolia Plantation gardens?"
"Did Stan Lee create Jean Grey?";"Did Stan Lee";" create Jean Grey?"
"Who operates the Ganz UV?";"Who operates the";" the Ganz UV?"
"What is the mascot of alma mater of John O Moseley?";"What is the";" John O Moseley?"
"Which silver medalist of the Tennis at the 2012 Summer Olympics Men's singles was also the flagbearer of Switzerland at the 2008 Summer Olympics";"Which silver medalist";" 2008 Summer Olympics"
"Where did the genres originate which can be found in The Mudbloods?";"Where did the";" in The Mudbloods?"
"What is the hometown of Nader Guirat, where Josef Johansson was born too?";"What is the";" was born too?"
"How many companies were founded in Dallas?";"How many companies";" founded in Dallas?"
"River which flows into the eugene mahoney state park pass through which states?";"River which flows";" through which states?"
"What are some countries where companies headquartered in the Klang Valley operate?";"What are some";" Klang Valley operate?"
"In which city was Saleen Raptor designed and is also the birth location of Jimmy Diggs ?";"In which city";" Jimmy Diggs ?"
"Who are the writers of the singles whose music genre is Rhythm and blues ?";"Who are the";" and blues ?"
"How many religion's commanders have served in the Royal Thai Army?";"How many religion's";" Royal Thai Army?"
"Where did Boga originate?";"Where did Boga";" did Boga originate?"
"Is Frontaccounting licensed under GNU license?";"Is Frontaccounting licensed";" under GNU license?"
"Name the scientist whose academic advisor is Karl Ewald Hasse and supervisor is Georg Meissner?";"Name the scientist";" is Georg Meissner?"
"What show has judge as Randy Jackson sculptors as Simon Fuller?";"What show has";" as Simon Fuller?"
"In how many territories were the wars fought where Fusil Gras Mile 1874 were used?";"In how many";" 1874 were used?"
"Where is Denver Broncos located?";"Where is Denver";" Denver Broncos located?"
"In which city where there is a headquarters of Orient News and also Feras Saied died?";"In which city";" Feras Saied died?"
"Does the Westchester Avenue fall under the Bronx?";"Does the Westchester";" under the Bronx?"
"Whose county seats are Mediolanum and History of Trier?";"Whose county seats";" History of Trier?"
"Which basketball team's coach is Kurt Rambis?";"Which basketball team's";" is Kurt Rambis?"
"Name a military unit whose command structure is United States Department of the Navy and garrison is Arlington County, Virginia?";"Name a military";" Arlington County, Virginia?"
"Which club of Michael Springer is also the parent organization of Syracuse University press ?";"Which club of";" University press ?"
"How many famous people are from the Filipinos?";"How many famous";" from the Filipinos?"
"How many shows does HBO have?";"How many shows";" does HBO have?"
"Which former team of the Harry Parker (baseball) is the debut team of the Carl Sitton?";"Which former team";" the Carl Sitton?"
"Which largest city of Salsette Island is also the largest city of India ?";"Which largest city";" of India ?"
"What race of Linda Hogan is the state of origin of the Holmes Colbert ?";"What race of";" Holmes Colbert ?"
"What is the order of George Frisbie Hoar?";"What is the";" George Frisbie Hoar?"
"What religion do people of the country of Mahbuba Islam Rakhi follow?";"What religion do";" Islam Rakhi follow?"
"Do the west coast airlines fly to seattle?";"Do the west";" fly to seattle?"
"What are the movies whose screenplay is done by Eric Roth?";"What are the";" by Eric Roth?"
"Which nationalist group was responsible for foundation of Young Lords?";"Which nationalist group";" of Young Lords?"
"List down all the cast members of Tony n' Tina's Wedding ?";"List down all";" Tina's Wedding ?"
"What is manufactured by a company founded by Akio Morita?";"What is manufactured";" by Akio Morita?"
"Which religion did both anupong paochinda and udit raj follow?";"Which religion did";" udit raj follow?"
"Where did the employees of American College of Surgeons study?";"Where did the";" of Surgeons study?"
"What is the american football league whose champion is from Kansas City, Missouri?";"What is the";" Kansas City, Missouri?"
"Who is the meaning of the name Isa which was also one of the subject of play The Prodigal Son ?";"Who is the";" Prodigal Son ?"
"Does A foreign policy of freedom belong to the genre Politics?";"Does A foreign";" the genre Politics?"
"Name the builder of Baku Olympic Stadium?";"Name the builder";" Baku Olympic Stadium?"
"Was Let it Be written by Ringo Starr?";"Was Let it";" by Ringo Starr?"
"Who is the stockholder of Paphos International Airport ?";"Who is the";" International Airport ?"
"Where does the river end on whose border we find in Bjelasnica?";"Where does the";" find in Bjelasnica?"
"Who is known for the War of 1812 and Battle of the Thames?";"Who is known";" of the Thames?"
"Name some Texas based companies ?";"Name some Texas";" based companies ?"
"Name the Fox TV show judged by Rand Jackson?";"Name the Fox";" by Rand Jackson?"
"What is the airline company has its headquarters in Dublin Airport?";"What is the";" in Dublin Airport?"
"Which city is Black Grape Global located ?";"Which city is";" Global located ?"
"Is The Universe in a Single Atom a book about buddhism?";"Is The Universe";" book about buddhism?"
"Who are the cast members of The Simpsons Ride?";"Who are the";" The Simpsons Ride?"
"Through which states do the rivers flow which join in the republican river from the left?";"Through which states";" from the left?"
"Who founded the city where Pat Vincent die?";"Who founded the";" Pat Vincent die?"
"In which war did Roh Tae Woo and Lee Leffingwell fight?";"In which war";" Lee Leffingwell fight?"
"What is the city whose mayor is Giorgos Kaminis?";"What is the";" is Giorgos Kaminis?"
"Where was the engineer born who manufactured EP R.E.P. 1?";"Where was the";" EP R.E.P. 1?"
"List the settlements area whose province is Metropolitan City of Venice?";"List the settlements";" City of Venice?"
"Which company had built the rockets launched at the Cape Canaveral Air Force Station Space Launch Complex 17?";"Which company had";" Launch Complex 17?"
"How many awards have royal designers for industry winners got?";"How many awards";" industry winners got?"
"List the mountains of the range Sierra Nevada (U.S.) located in California?";"List the mountains";" located in California?"
"Name the scientist whose supervisor was John Robert Woodyard and has won Norbert Wiener Award for Social and Professional Responsibility?";"Name the scientist";" and Professional Responsibility?"
"What would be a common border of Siberia and the shimsa plateau?";"What would be";" the shimsa plateau?"
"To which US states does the roads belong which meet at the East Whiteland Township in Pennsylvania?";"To which US";" Township in Pennsylvania?"
"Who are the players whose current clubs have Ferran Soriano as chairman?";"Who are the";" Soriano as chairman?"
"Where did Doug Walgren and Lee Si Chen study?";"Where did Doug";" Si Chen study?"
"Name the movie whose producer is Michael Deeley and music is given by Vangelis ?";"Name the movie";" by Vangelis ?"
"Which companies makes cars assembled in Karachi, Pakistan?";"Which companies makes";" in Karachi, Pakistan?"
"How many apes are there?";"How many apes";" apes are there?"
"Was Johnny Depp a member of Skull Gang?";"Was Johnny Depp";" of Skull Gang?"
"What awards did the founder of Grameen Bank win?";"What awards did";" Grameen Bank win?"
"List the  primeministers of Victor Hope, 2nd Marquess of Linlithgow ?";"List the ";" of Linlithgow ?"
"Under which president did the predecessor of Simon Ferro work?";"Under which president";" Simon Ferro work?"
"What is the country whose administrative centre is Hagta, Guam?";"What is the";" is Hagta, Guam?"
"Which television show's company is Paramount Television and is located in Boston?";"Which television show's";" located in Boston?"
"What is the base currency of the Benelux which can be used in Republic of Montenegro?";"What is the";" Republic of Montenegro?"
"Give me the total number of architect of the buildings whose one of the architect was Louis D. Astorino?";"Give me the";" Louis D. Astorino?"
"What is the administrative headquarters of Pulau Ujong ?";"What is the";" Pulau Ujong ?"
"In which country's cuisine, ham is an important part?";"In which country's";" an important part?"
"What shows are aired on sister channels of BBC Parliaments?";"What shows are";" of BBC Parliaments?"
"What games are played in Protestant schools?";"What games are";" in Protestant schools?"
"List the shows whose network is run by BBC.";"List the shows";" run by BBC."
"Name the televesion show which has artist named Christopher Franke?";"Name the televesion";" named Christopher Franke?"
"What are some other children of the father of Marvin Bush?";"What are some";" of Marvin Bush?"
"With which musical artist is the producer of Spotlight associated ?";"With which musical";" Spotlight associated ?"
"Who is the starring of the movies such that music is by Raamlaxman?";"Who is the";" is by Raamlaxman?"
"In how many districts there are stations with borough called tendring?";"In how many";" borough called tendring?"
"What are the things whose director of photography died in United States?";"What are the";" in United States?"
"What people are known to work for Johnny Cash?";"What people are";" for Johnny Cash?"
"What kind of buildings were designed by Pyusawhti?";"What kind of";" designed by Pyusawhti?"
"What is the municipality of Liberty Bell?";"What is the";" of Liberty Bell?"
"What is the branch of the politicians whose governor is Bill Clements?";"What is the";" is Bill Clements?"
"Who is the producer of the device which is the operating system of Now TV  ?";"Who is the";" TV  ?"
"List all the co-founders of the non-profit organisations which have founding member as David pressman?";"List all the";" as David pressman?"
"Name the nearest city to Lake Victoria?";"Name the nearest";" to Lake Victoria?"
"What company developed the Sherlock software and Arthur Levinson works for?";"What company developed";" Levinson works for?"
"Which info. appliance is manufactured by Asus and is the successor of PS 2?";"Which info. appliance";" of PS 2?"
"Name the team for which Cam Plante played for which were also the tenants of MasterCard center?";"Name the team";" of MasterCard center?"
"What is the city whose mayor is Anne Hidalgo?";"What is the";" is Anne Hidalgo?"
"Who has a child named Lori Black and is resting place as Palo Alto, California?";"Who has a";" Palo Alto, California?"
"Name the cause of death of Martino Martini ?";"Name the cause";" Martino Martini ?"
"How many things have made different people living in Canada famous?";"How many things";" in Canada famous?"
"List the birth city of the politicians of Democratic Party.";"List the birth";" of Democratic Party."
"Who have rented the stadium operated by Maple Leaf S&E?";"Who have rented";" Maple Leaf S&E?"
"Which location country of Ennejma Ezzahra is also the origin of Boga ?";"Which location country";" of Boga ?"
"Who has fought in the conflicts around the Mississippi river?";"Who has fought";" the Mississippi river?"
"How many first drivers have participated when Scuderia Ferrari was a first team?";"How many first";" a first team?"
"For which teams did the Hawai graduated players play their first game?";"For which teams";" their first game?"
"Name the royalty whose mother was Cleopatra V of Egypt and one of his parents was Ptolemy XII Auletes?";"Name the royalty";" Ptolemy XII Auletes?"
"What water bodies are nearest to Helsinki city?";"What water bodies";" to Helsinki city?"
"Which college has been attended by both Mr. Hubert Wiggs and Mr. Alvin Bell?";"Which college has";" Mr. Alvin Bell?"
"Is Latin the official language of Sovereign Military Order of Malta?";"Is Latin the";" Order of Malta?"
"Which is the university of Vanderbilt Commodores?";"Which is the";" of Vanderbilt Commodores?"
"What are some scientists who have stateless citizenship?";"What are some";" have stateless citizenship?"
"To which branch Edwin F. Hunter  belong ?";"To which branch";"  belong ?"
"List down the commanders of Battle of Fort stephenson?";"List down the";" of Fort stephenson?"
"What are the main interests of Timothy Morton?";"What are the";" of Timothy Morton?"
"Who is the producer of Captain EO ?";"Who is the";" Captain EO ?"
"Name the TV shows with network as NBC and company as Paramount Television ?";"Name the TV";" Paramount Television ?"
"Which division of Serbia national team is also the region of Dobinsk Ice Cave?";"Which division of";" Dobinsk Ice Cave?"
"Count the number of other services of the companies which provides the Microsoft Azure as service ?";"Count the number";" as service ?"
"In which state is the alma mater of Ben Ysursa located ?";"In which state";" Ysursa located ?"
"What is sovereignity of the successor of Mr. George Robert Andrews ?";"What is sovereignity";" Robert Andrews ?"
"What is the hub of Wan Air ?";"What is the";" Wan Air ?"
"Is Michelle D. Johnson the superintendent of United States Air Force Academy?";"Is Michelle D.";" Air Force Academy?"
"What is the common genre of Abhijit Kunte and Kasparov?";"What is the";" Kunte and Kasparov?"
"AH141 highway is a part of which country?";"AH141 highway is";" of which country?"
"Was David Gilmour a former member of Pink Floyd?";"Was David Gilmour";" of Pink Floyd?"
"What religion did the spouse of Richie Aprile follow?";"What religion did";" Richie Aprile follow?"
"Which TV show's executive producer is Douglas Netter and composed by Stewart Copeland ?";"Which TV show's";" Stewart Copeland ?"
"Who was the narrator of the show who's music is composed by John Douglas?";"Who was the";" by John Douglas?"
"For which team did Cam Plante and Doug Acomb both play atleast once?";"For which team";" play atleast once?"
"What are the bands associated with the artists of My Favorite Girl?";"What are the";" My Favorite Girl?"
"What is manufactured by a company headed by Kazuo Hirai?";"What is manufactured";" by Kazuo Hirai?"
"List the Stanley Kubrick's movies which has music by Laurie Johnson  ?";"List the Stanley";" Johnson  ?"
"List some musicians associated with famous guitar players?";"List some musicians";" famous guitar players?"
"What is the former partner of the figure skaters whose current partner is Alexa Scimeca?";"What is the";" is Alexa Scimeca?"
"Which river starts from the county seat of Heathsville, Virginia?";"Which river starts";" of Heathsville, Virginia?"
"In which city of Pittsburg Steelers was the Congress of Inductrial Organization founded ?";"In which city";" Organization founded ?"
"Which country did the prime minister belong to who was served by Thanong Bidaya?";"Which country did";" by Thanong Bidaya?"
"Count me the number of people whose military unit is involved with Close air support?";"Count me the";" Close air support?"
"Where did the president study, whose VP was Emilio Nez?";"Where did the";" was Emilio Nez?"
"Who wrote the album coming right before Dead Man's Chest's OST?";"Who wrote the";" Man's Chest's OST?"
"Which cities have the river one of whose Tributary is the Missouri's big spring?";"Which cities have";" Missouri's big spring?"
"Which district of Fort Heath radar station is also the state of Joesph Story ?";"Which district of";" Joesph Story ?"
